Year,World,Africa,Asia,Europe,Latin America and Caribbean,North America,Oceania
2015-2020,2.47,4.44,2.15,1.61,2.04,1.75,2.36
2010-2015,2.52,4.73,2.21,1.6,2.14,1.85,2.44
2005-2010,2.58,4.9,2.33,1.56,2.26,2.01,2.54
2000-2005,2.65,5.08,2.45,1.43,2.49,1.99,2.46
1995-2000,2.78,5.35,2.61,1.43,2.77,1.95,2.48
1990-1995,3.01,5.72,2.9,1.57,3.08,2.0,2.52
1985-1990,3.44,6.19,3.5,1.81,3.45,1.88,2.53
1980-1985,3.59,6.5,3.69,1.88,3.94,1.79,2.63
1975-1980,3.86,6.64,4.1,1.98,4.44,1.77,2.76
1970-1975,4.47,6.7,5.06,2.17,4.92,2.02,3.25
1965-1970,4.93,6.71,5.75,2.37,5.46,2.55,3.59
1960-1965,5.02,6.7,5.8,2.57,5.83,3.28,3.97
1955-1960,4.9,6.62,5.59,2.66,5.85,3.61,4.1
1950-1955,4.97,6.57,5.83,2.66,5.83,3.34,3.89
