Year,Men,Women
Rio 2016,78.68,82.29
London 2012,80.59,77.6
Beijing 2008,82.02,75.2
Athens 2004,82.91,75.02
Sydney 2000,80.02,71.16
Atlanta 1996,81.24,-
Barcelona 1992,82.54,-
Seoul 1988,84.8,-
Los Angeles 1984,78.08,-
Moscow 1980,81.8,-
Montreal 1976,77.52,-
Munich 1972,75.5,-
Mexico City 1968,73.36,-
Tokyo 1964,69.74,-
Rome 1960,67.1,-
Melbourne 1956,63.19,-
Helsinki 1952,60.34,-
London 1948,56.07,-
Berlin 1936,56.49,-
Los Angeles 1932,53.92,-
Amsterdam 1928,51.39,-
Paris 1924,53.3,-
Antwerp 2020,52.88,-
Stockholm 1912,54.74,-
London 1908,51.92,-
St. Louis 1904,51.23,-
Paris 1900,51.01,-
