Month,2012,2013,2014,2015,2016,2017
Dec,248.36,227.51,199.5,6.36,6152.0,-
Nov,320.12,250.36,310.23,74.77,6.64,-
Oct,329.81,145.67,350.14,256.39,5.82,11.66
Sept,207.09,26.76,304.83,216.56,4.26,7.23
Aug,187.4,97.3,272.14,231.35,3.7,5.66
Jul,162.88,181.91,256.59,233.72,3.03,5.3
Jun,145.84,195.75,228.91,248.95,3.98,5.21
May,187.82,247.23,253.66,288.04,4.18,6.98
Apr,238.93,319.65,308.5,303.88,5.02,8.94
Mar,187.8,290.83,251.2,224.97,3.74,8.73
Feb,133.36,179.26,183.6,128.7,3.13,5.79
Jan,168.87,231.67,219.68,176.21,4.1,5.95
