search query size,Google,Yahoo,Bing,AOL,Ask,Other
Total,94.78%,1.27%,1.31%,0.02%,0.04%,2.58%
One word,87.17%,3.73%,2.87%,0.03%,0.11%,6.1%
Two words,94.14%,1.52%,1.53%,0.01%,0.05%,2.74%
Three words,95.22%,0.96%,1.2%,0.01%,0.04%,2.57%
Four words,95.88%,0.83%,1.03%,0.01%,0.03%,2.22%
Five words,96.28%,0.83%,1%,0.02%,0.03%,1.84%
Six words,96.72%,0.87%,0.87%,0.02%,0.03%,1.49%
Seven words,96.9%,0.94%,0.87%,0.02%,0.03%,1.25%
Eight words,96.88%,1.03%,0.89%,0.02%,0.03%,1.15%
Nine words,96.67%,1.13%,0.95%,0.02%,0.04%,1.2%
Ten or more words,95.87%,1.17%,1.06%,0.02%,0.03%,1.85%
