university whose graduates earn the most,Starting salary*,Mid-career salary**
Harvey Mudd College,91400,162500
Massachusetts Institute of Technology,88300,158100
United States Naval Academy,79600,152600
Princeton University,77300,150500
California Institute of Technology,87600,150300
Harvard University,76400,147700
Stanford University,81800,147100
Santa Clara University,71100,146300
United States Military Academy,81100,146300
Babson College,73000,146200
Colgate University,69700,144800
Stevens Institute of Technology,75800,144300
SUNY Maritime College,74500,143400
University of Pennsylvania,73700,142900
Colorado School of Mines,75800,142800
Williams College,67600,142300
Dartmouth College,73300,141400
Yale University,72700,141300
Swarthmore College,67700,141000
Albany College of Pharmacy and Health Sciences,77700,140800
Washington and Lee University,66500,140600
United States Air Force Academy,77600,140400
Lehigh University,70300,139800
University of California-Berkeley,72600,138800
Claremont McKenna College,70700,138500
United States Merchant Marine Academy,84300,138500
Webb Institute,81500,137900
Rose-Hulman Institute of Technology,76600,137700
Georgia Institute of Technology-Main Campus,74500,137300
University of Notre Dame,68300,136900
