Response,Female,Male
Arkansas,16.9%,8.1%
Missouri,14.6%,5.3%
Michigan,14.4%,5.4%
Georgia,14.2%,6.8%
Montana,14.2%,5.4%
Illinois,14.1%,7.3%
West Virginia,13.9%,5.5%
Texas,13.7%,6.9%
Alaska,13.7%,4.9%
South Carolina,13.5%,10.4%
Alabama,13.4%,5.8%
Kansas,13.4%,6.7%
New Mexico,13.3%,5.7%
Oklahoma,13.2%,4.9%
Iowa,12.8%,6.8%
Nebraska,12.7%,3.9%
Pennsylvania,12.1%,5.2%
Mississippi,11.8%,6.1%
North Carolina,11.4%,5.4%
Arizona,11.3%,5.8%
California,11.3%,5.2%
Massachusetts,11.3%,8.2%
North Dakota,11.3%,4.3%
Utah,11.3%,4.1%
Idaho,11%,5.7%
Hawaii,11%,4.6%
New Hampshire,10.6%,3%
Maine,10.6%,4%
South Dakota,10.5%,3.7%
Florida,10.3%,4.1%
Nevada,10.3%,4.8%
Wisconsin,9.9%,3.9%
Colorado,9.8%,3.3%
Rhode Island,9.6%,5.7%
Connecticut,9.1%,3.5%
Virginia,8.6%,3.7%
