Month,Subway,Road transport,Car sharing**,Local electric trains,Taxi,Number of personal cars
Jul 21 9am,-27%,-27%,-,-21%,-10%,4%
Jul 18 2pm,-24%,-19%,-,-29%,-2%,6%
Jul 17 9am,-27%,-21%,-,-22%,-9%,6%
Jul 16 9am,-27%,-24%,-,-23%,-14%,4%
Jul 14 9am,-29%,-25%,-,-25%,-10%,2%
Jul 12 2pm,-25%,-18%,-,-37%,-2%,5%
Jul 11 2pm,-25%,-23%,-,-37%,-5%,5%
Jul 10 9am,-29%,-28%,-35%,-24%,-11%,6%
Jul 9 7pm,-33%,-34%,-35%,-27%,-7%,6%
Jul 6 9am,-31%,-29%,-,-30%,-11%,3%
Jul 5 2pm,-26%,-26%,-,-38%,-3%,3%
Jul 3 9am,-33%,-30%,-,-34%,-11%,3%
Jul 2 9am,-34%,-29%,-,-35%,-14%,7%
Jun 30 9am,-35%,-33%,-,-37%,-13%,2%
Jun 28 2pm,-37%,-38%,-,-45%,-6%,1%
Jun 27 2pm,-29%,-19%,-,-36%,-7%,4%
Jun 25 9am,-39%,-29%,-,-40%,-4%,2%
Jun 23 9am,-41%,-32%,-,-41%,-16%,1%
Jun 22 9am,-41%,-34%,-,-45%,-23%,-2%
Jun 21 2pm,-43%,-45%,-,-46%,-7%,-4%
Jun 19 9am,-44%,-45%,-,-46%,-21%,-10%
Jun 18 9am,-44%,-42%,-,-10%,-18%,-7%
Jun 17 9am,-45%,-43%,-,-46%,-11%,-8%
Jun 16 9am,-46%,-37%,-,-53%,-19%,-5%
Jun 15 9am,-45%,-27%,-,-52%,-25%,-1%
Jun 14 2pm,-47%,-52%,-,-59%,-20%,-6%
Jun 13 2pm,-57%,-54%,-,-59%,-26%,-17%
Jun 12 2pm,-48%,-57%,-55%,-49%,-19%,-1%
Jun 11 10am,-55%,-46%,-,-50%,-22%,-10%
Jun 10 10am,-55%,-46%,-99%,-56%,-21%,-13%
Jun 9 11am,-58%,-56%,-,-65%,-25%,-15%
Jun 8 10am,-62%,-53%,-,-64%,-27%,-16%
Jun 5 10am,-65%,-62%,-,-65%,-38%,-23%
Jun 4 10am,-66%,-64%,-,-64%,-35%,-24%
Jun 3 10am,-67%,-65%,-,-65%,-37%,-24%
Jun 2 10am,-68%,-66%,-,-65%,-31%,-24%
Jun 1 9am,-67%,-66%,-,-66%,-33%,-20%
May 29 10am,-73%,-70%,-,-66%,-42%,-31%
May 28 10am,-72%,-70%,-,-66%,-39%,-31%
May 27 10am,-73%,-71%,-,-66%,-39%,-31%
May 26 10:30am,-73%,-73%,-,-66%,-38%,-31%
May 25 10am,-73%,-73%,-,-66%,-41%,-31%
May 22 10am,-75%,-74%,-100%,-65%,-48%,-36%
May 21 10am,-75%,-74%,-100%,-65%,-54%,-37%
May 20 10:30am,-75%,-74%,-100%,-66%,-46%,-37%
May 19 10:30am,-76%,-74%,-100%,-66%,-45%,-38%
May 18 10am,-76%,-75%,-100%,-67%,-43%,-36%
May 15 10am,-77%,-78%,-100%,-69%,-54%,-41%
May 14 10am,-78%,-78%,-100%,-67%,-51%,-39%
May 13 10am,-79%,-79%,-100%,-69%,-49%,-40%
May 12 10am,-78%,-81%,-100%,-69%,-45%,-38%
May 6 10am,-81%,-81%,-100%,-69%,-55%,-49%
Apr 30 10am,-83%,-82%,-100%,-69%,-61%,-49%
Apr 29 10am,-83%,-82%,-100%,-70%,-56%,-50%
Apr 28 10am,-82%,-81%,-100%,-73%,-56%,-52%
Apr 27 10am,-82%,-82%,-100%,-69%,-54%,-58%
Apr 24 10am,-84%,-83%,-100%,-69%,-62%,-63%
Apr 23 10am,-84%,-83%,-100%,-69%,-59%,-63%
Apr 22 10am,-84%,-83%,-100%,-70%,-56%,-55%
Apr 21 10am,-84%,-83%,-100%,-70%,-58%,-57%
Apr 20 10am,-84%,-83%,-100%,-68%,-58%,-60%
Apr 17 10am,-85%,-84%,-100%,-67%,-64%,-64%
Apr 16 10am,-85%,-83%,-100%,-68%,-63%,-66%
Apr 15 10am,-85%,-81%,-100%,-68%,-60%,-59%
Apr 14 10:30am,-84%,-82%,-100%,-67%,-55%,-54%
Apr 13 10am,-83%,-80%,-100%,-67%,-56%,-55%
Apr 10 10am,-80%,-78%,-59%,-65%,-62%,-59%
Apr 9 10am,-80%,-78%,-60%,-66%,-58%,-62%
Apr 8 10am,-81%,-77%,-61%,-66%,-57%,-59%
Apr 7 10am,-80%,-79%,-60%,-67%,-56%,-54%
Apr 6 10am,-80%,-79%,-65%,-66%,-57%,-52%
Apr 3 10am,-84%,-75%,-71%,-65%,-64%,-62%
Apr 2 10am,-84%,-75%,-63%,-67%,-63%,-64%
Apr 1 11am,-83%,-71%,-61%,-64%,-59%,-59%
Mar 31 10am,-82%,-72%,-61%,-64%,-64%,-50%
Mar 27 10am,-44%,-41%,-32%,-35%,-31%,-5%
Mar 26 10am,-43%,-39%,-23%,-35%,-23%,-6%
Mar 25 10am,-44%,-32%,-26%,-32%,-23%,-4%
