Country,Not a moral issue,Acceptable,Unacceptable
Pakistan,7%,12%,65%
Nigeria,13%,17%,54%
Ghana,7%,35%,52%
Malaysia,23%,21%,40%
Tunisia,17%,27%,39%
Uganda,6%,51%,38%
Kenya,11%,47%,33%
Philippines,9%,60%,29%
Senegal,11%,51%,28%
El Salvador,11%,63%,23%
India,7%,59%,22%
Turkey,21%,42%,21%
Bolivia,13%,58%,19%
Poland,24%,47%,17%
Israel,29%,44%,17%
South Africa,9%,68%,15%
Greece,33%,45%,14%
Palestinian ter.,24%,40%,14%
South Korea,26%,49%,14%
Mexico,18%,63%,14%
Lebanon,31%,34%,13%
China,28%,49%,13%
Indonesia,15%,65%,10%
Brazil,11%,79%,8%
United States,36%,52%,7%
Russia,19%,62%,7%
Egypt,36%,35%,7%
Italy,30%,59%,6%
Chile,17%,75%,6%
Jordan,36%,38%,6%
Argentina,21%,69%,6%
Japan,18%,73%,5%
Venezuela,8%,82%,5%
France,40%,56%,4%
Canada,43%,49%,4%
Australia,39%,55%,4%
Britain,32%,62%,3%
Spain,32%,64%,2%
Czech Republic,21%,74%,2%
Germany,28%,70%,1%
