Country,Confirmed cases,Cases in last 7 days,Daily increase (# cases),Number of deaths,Daily increase (# deaths),Death rate (%)
Yemen,2085,6,1,606,0,29.06
Mexico,1267202,61973,11228,115099,801,9.08
Ecuador,202356,3128,176,13896,21,6.87
Sudan,21864,1780,273,1372,17,6.28
Bolivia,147716,1656,371,9026,2,6.11
Syria,9452,777,150,543,13,5.74
Chad,1784,52,13,102,0,5.72
Egypt,122609,2907,523,6966,23,5.68
China,94537,639,110,4757,3,5.03
Liberia,1676,0,0,83,0,4.95
Iran,1123474,50854,7704,52670,223,4.69
Afghanistan,48952,1101,234,1995,26,4.08
Peru,986130,9509,1157,36754,77,3.73
Italy,1870576,100427,14839,65857,846,3.52
Tunisia,113241,6385,1880,3956,62,3.49
Mali,5878,409,42,205,4,3.49
Niger,2361,283,39,82,0,3.47
United Kingdom¹,1882796,120703,18331,64810,506,3.44
Guatemala,130082,2955,677,4476,31,3.44
Bosnia and Herzegovina,102330,5013,869,3457,66,3.38
Bulgaria,184287,12794,2743,6005,167,3.26
Gambia,3785,9,3,123,0,3.25
Australia,28060,60,12,908,0,3.24
Malawi,6080,29,10,187,0,3.08
Sierra Leone,2451,17,6,75,0,3.06
Indonesia,629429,36529,6120,19111,155,3.04
Greece,126372,6652,1199,3785,98,3.0
Belgium,611422,13779,2211,18178,124,2.97
El Salvador,42132,1391,252,1212,7,2.88
Canada,479064,39922,6244,13685,115,2.86
Algeria,93065,3051,468,2623,14,2.82
Ireland,76776,1876,327,2134,8,2.78
Chile,575329,10551,1499,15949,18,2.77
Nicaragua,5887,0,0,162,0,2.75
Spain,1762212,50111,10328,48401,388,2.75
Argentina,1510203,34981,6981,41204,163,2.73
Colombia,1444646,52513,10130,39356,161,2.72
South Africa,873679,45081,7552,23661,210,2.71
Zimbabwe,11522,515,164,310,1,2.69
Somalia,4579,0,0,121,0,2.64
San Marino,1982,148,48,52,1,2.62
Brazil,6970034,241582,42889,182799,964,2.62
Guyana,5973,241,30,156,0,2.61
Honduras,114943,2151,301,3001,12,2.61
Kosovo,47203,2761,294,1220,17,2.58
Hungary,285763,26175,1893,7237,107,2.53
Vietnam,1405,24,3,35,0,2.49
France¹,2346582,64831,10836,58394,783,2.49
Congo (Kinshasa),14597,754,84,358,2,2.45
Haiti,9597,163,9,234,0,2.44
Romania,565758,33718,6171,13698,204,2.42
Jamaica,11875,506,83,276,3,2.32
Angola,16362,558,85,372,0,2.27
Sweden,341029,36236,20931,7667,153,2.25
Belize,9511,992,134,211,14,2.22
Channel Islands,2192,406,60,48,0,2.19
Slovenia,98281,8206,1536,2149,42,2.19
Iraq,577363,7490,1391,12614,11,2.18
Suriname,5381,48,22,117,0,2.17
Bahamas,7698,113,24,164,1,2.13
Burma,110667,7501,1155,2319,27,2.1
Paraguay,95353,5207,1130,1991,20,2.09
Mauritania,11431,1326,296,236,8,2.06
Albania,50000,4812,809,1028,12,2.06
Sint Maarten,1269,84,20,26,0,2.05
Puerto Rico,63419,4457,434,1294,12,2.04
Moldova,128656,7686,1403,2625,27,2.04
Senegal,17216,551,70,350,0,2.03
Poland,1147446,59100,6874,23309,349,2.03
Pakistan,445977,16697,2731,9010,105,2.02
Togo,3295,144,29,66,0,2.0
Zambia,18428,366,106,368,1,2.0
Philippines,451839,7675,1106,8812,55,1.95
South Sudan,3222,41,16,62,0,1.92
Eswatini,6912,300,87,132,2,1.91
Lesotho,2307,143,30,44,0,1.91
USA¹,16652244,1265982,205866,302411,3083,1.82
Guinea-Bissau,2447,3,3,44,0,1.8
Guadeloupe,8498,47,47,152,0,1.79
Trinidad and Tobago,6900,92,15,123,0,1.78
Russia,2682866,164315,26265,47410,564,1.77
Cameroon,25359,396,145,445,2,1.75
Kenya,92459,2798,404,1604,11,1.73
Panama,196987,14010,2368,3411,29,1.73
Ukraine,934161,66170,8840,16038,246,1.72
Burkina Faso,4300,831,91,73,2,1.7
Armenia,149120,5054,438,2529,26,1.7
Germany,1391086,136728,33825,23544,910,1.69
Kyrgyzstan,78151,2139,477,1317,5,1.69
Saudi Arabia,360155,881,142,6069,10,1.69
Sao Tome and Principe,1010,5,0,17,0,1.68
Morocco,403619,15435,2793,6711,52,1.66
Czechia,586251,29324,5172,9743,134,1.66
Guam,7168,129,31,119,0,1.66
Equatorial Guinea,5195,12,10,85,0,1.64
Netherlands¹,618353,51066,6550,10082,86,1.63
Portugal,353576,21503,2638,5733,84,1.62
Nigeria,74132,3463,758,1200,3,1.62
Congo (Brazzaville),6200,151,0,100,0,1.61
Switzerland,388828,25174,4271,6266,112,1.61
Malta,11303,525,49,177,3,1.57
Croatia,179718,20346,2360,2778,73,1.55
Ethiopia,117542,2708,300,1813,4,1.54
Dominican Republic,155797,5636,613,2367,3,1.52
Finland,31459,2727,349,466,5,1.48
Madagascar,17587,114,0,259,0,1.47
India,9932547,165176,26382,144096,387,1.45
Bangladesh,494209,10105,1877,7129,40,1.44
Libya,92017,3495,660,1319,5,1.43
Cuba,9588,482,96,137,0,1.43
Benin,3090,0,0,44,0,1.42
Austria,327679,16677,2628,4648,118,1.42
Montenegro,42148,2541,345,597,12,1.42
Thailand,4261,92,15,60,0,1.41
Japan,184752,15323,2441,2581,51,1.4
Kazakhstan,187890,5233,930,2613,59,1.39
Latvia,26472,3656,587,357,5,1.35
South Korea,45442,5344,1078,612,12,1.35
Liechtenstein,1579,147,13,21,1,1.33
Jordan,265024,14805,2547,3437,30,1.3
Central African Republic,4936,9,0,63,0,1.28
Costa Rica,154096,5408,927,1956,20,1.27
Virgin Islands (U.S.),1828,130,21,23,0,1.26
New Zealand,2100,12,4,25,0,1.19
Oman,126719,1229,215,1475,3,1.16
Azerbaijan,183259,24704,4273,2007,41,1.1
Réunion,3882,6,1,42,1,1.08
Andorra,7382,220,0,79,0,1.07
Djibouti,5749,32,16,61,0,1.06
Luxembourg,42250,3774,350,418,8,0.99
Namibia,16913,1441,187,164,1,0.97
Georgia,194900,20517,3837,1883,44,0.97
Cabo Verde,11395,203,34,110,0,0.97
Norway,41852,2327,518,395,2,0.94
Mayotte,5616,435,65,53,1,0.94
Uruguay,10418,2314,389,98,3,0.94
Slovakia,135523,13727,2034,1251,46,0.92
Aruba,5079,83,23,46,0,0.91
West Bank and Gaza,113409,10417,2307,1023,23,0.9
Lithuania,96452,15896,1431,863,38,0.89
Venezuela,108480,2628,355,965,5,0.89
Turkey,1898447,973105,32102,16881,235,0.89
Serbia,277248,35417,5884,2433,53,0.88
Mozambique,17042,602,40,144,1,0.84
Estonia,18682,2628,297,157,3,0.84
Israel,360630,10359,1124,3014,10,0.84
Rwanda,6832,554,85,57,1,0.83
Denmark¹,115538,18719,2990,961,11,0.83
Lebanon,148877,8468,1264,1223,13,0.82
Uzbekistan,75241,889,147,612,0,0.81
Uganda,28168,3109,402,225,1,0.8
Belarus,164059,11606,1911,1282,9,0.78
Martinique,5601,48,48,42,1,0.75
Nepal,250180,5747,936,1730,14,0.69
Tajikistan,12777,226,36,88,0,0.69
Gabon,9351,51,0,63,0,0.67
Kuwait,146710,1506,261,913,1,0.62
Ghana,53270,648,256,327,0,0.61
French Polynesia,15870,459,123,97,1,0.61
Cote d'Ivoire,21775,228,70,133,0,0.61
French Guiana,11855,342,55,71,0,0.6
Guinea,13457,132,0,80,0,0.59
Gibraltar,1104,39,22,6,0,0.54
Cyprus,15789,2503,339,84,2,0.53
Iceland,5571,55,7,28,0,0.5
Malaysia,86618,10353,1772,422,3,0.49
Sri Lanka,34121,4049,643,154,0,0.45
Bahrain,89444,949,176,348,0,0.39
Maldives,13392,118,13,48,0,0.36
United Arab Emirates,187267,7117,1226,622,4,0.33
Curacao,3699,374,38,11,0,0.3
Botswana,12873,815,0,38,0,0.3
Qatar,141272,919,151,241,0,0.17
Singapore,58341,13727,16,29,0,0.05
