Country,Public,Private
Chile,1%,1.7%
United States,0.9%,1.7%
Canada,1.2%,1.1%
Australia,0.7%,1.3%
Norway,1.8%,0.1%
United Kingdom,0.5%,1.4%
Austria,1.6%,0.2%
New Zealand,0.9%,0.9%
Korea,0.6%,1%
Netherlands,1.1%,0.5%
Turkey,1.3%,0.3%
Costa Rica,1.6%,-
Denmark,1.6%,0%
Sweden,1.3%,0.2%
Finland,1.4%,0.1%
Israel,0.8%,0.7%
France,1.1%,0.3%
Japan,0.4%,1%
Belgium,1.2%,0.2%
Estonia,1.1%,0.2%
Iceland,1.2%,0.1%
Switzerland,1.3%,-
Poland,1%,0.2%
Mexico,0.8%,0.4%
Argentina,1.2%,-
Germany,1%,0.2%
Spain,0.8%,0.4%
Brazil,1.1%,-
Hungary,0.7%,0.4%
Portugal,0.7%,0.4%
Lithuania,0.7%,0.3%
Slovenia,0.9%,0.1%
Russian Federation,0.7%,0.3%
Slovak Republic,0.7%,0.3%
Czech Republic,0.7%,0.2%
Latvia,0.6%,0.3%
Italy,0.6%,0.3%
Ireland,0.6%,0.3%
Colombia,0.8%,0%
Greece,0.6%,0.1%
South Africa,0.6%,-
Luxembourg,0.4%,0%
