Response,Germany,United Kingdom,United States
5/31,28%,46%,56%
5/30,38%,49%,49%
5/29,26%,48%,56%
5/28,31%,50%,50%
5/27,30%,59%,49%
5/26,44%,42%,46%
5/25,40%,51%,47%
5/24,28%,49%,50%
5/23,35%,48%,59%
5/22,31%,55%,56%
5/21,30%,47%,51%
5/20,30%,57%,54%
5/19,29%,57%,58%
5/18,31%,51%,55%
5/17,34%,53%,58%
5/16,41%,49%,55%
5/15,35%,48%,57%
5/14,32%,59%,57%
5/13,42%,63%,55%
5/12,41%,60%,55%
5/11,43%,45%,49%
5/10,26%,48%,51%
5/09,33%,55%,51%
5/08,29%,54%,57%
5/07,35%,52%,52%
5/06,42%,57%,71%
5/05,37%,52%,55%
5/04,42%,60%,50%
5/03,36%,50%,60%
5/02,36%,56%,60%
5/01,38%,53%,61%
4/30,39%,53%,55%
4/29,36%,55%,61%
4/28,33%,51%,67%
4/27,45%,57%,58%
4/26,46%,57%,50%
4/25,43%,60%,57%
4/24,36%,50%,59%
4/23,53%,60%,60%
4/22,37%,63%,50%
4/21,43%,50%,60%
4/20,37%,62%,62%
4/19,50%,53%,67%
4/18,38%,58%,56%
4/17,50%,56%,64%
4/16,46%,57%,61%
4/15,39%,62%,59%
4/14,48%,59%,57%
4/13,50%,65%,65%
4/12,49%,63%,57%
4/11,39%,68%,59%
4/10,41%,54%,65%
4/09,44%,57%,63%
4/08,54%,64%,63%
4/07,50%,55%,54%
4/06,50%,64%,63%
4/05,59%,64%,67%
4/04,52%,61%,64%
4/03,44%,49%,59%
4/02,51%,54%,70%
4/01,54%,63%,62%
3/31,51%,57%,56%
3/30,45%,63%,54%
3/29,52%,59%,62%
3/28,54%,60%,56%
3/27,52%,52%,66%
3/26,54%,66%,58%
3/25,65%,57%,54%
3/24,48%,68%,54%
3/23,66%,69%,65%
