Leading football clubs,Facebook,Instagram,Twitter,Youtube,Sina Weibo,Others
Barcelona FC,102.66,63.77,52.39,5.84,5.95,9.39
Real Madrid,109.44,67.16,50.77,4.18,3.47,7.97
Manchester United,73.28,25.28,20.81,1.31,9.32,7.06
Chelsea FC,47.65,14.34,15.34,1.04,4.26,7.46
Arsenal,37.78,13.02,14.14,1.13,4.78,5.35
FC Bayern Munich,49.46,14.87,6.4,1.02,3.79,3.68
Liverpool FC,32.37,11.43,12.67,1.78,2.5,6.36
Juventus,36.09,20.53,8.37,1.75,0.83,1.91
Paris St. Germain,35.73,18.02,8.26,1.66,1.51,1.57
Manchester City,36.67,9.8,11.2,1.58,8.31,4.77
AC Milan,24.79,5.2,6.9,0.46,1.18,5.89
Galatasaray,12.65,5.57,8.77,0.43,0.02,0.99
Borussia Dortmund,15.2,6.55,3.31,0.39,1.78,1.22
Atletico Madrid,13.73,6.04,4.62,0.16,0.48,1.14
Corinthians,11.4,2.99,5.87,0.75,0.0,0.89
Fenerbahce,9.38,3.85,6.78,0.22,0.0,0.78
Flamengo,11.55,3.15,5.64,1.23,0.0,0.14
Al-Ahli,11.68,3.71,4.51,0.3,0.0,0.88
Club America,10.65,1.6,3.85,0.62,0.0,0.07
Persib Bandung,9.78,2.7,3.19,0.25,0.0,0.73
Boca Junior,8.48,3.3,3.46,0.28,0.0,0.73
River Plate,8.86,2.65,2.98,0.15,0.0,0.71
Tottenham Hotspur,10.3,3.41,3.29,0.41,1.97,0.34
AS Roma,9.4,2.2,2.44,0.28,0.22,0.27
Sao Paolo FC,6.69,1.88,4.24,0.89,0.0,0.07
FC Internazionale,11.32,2.44,1.98,0.38,1.04,0.2
Leicester City,6.63,2.56,1.27,0.08,0.53,0.08
Deportivo Guadalajara (Chivas),6.49,1.34,3.79,0.13,0.0,1.0
AL-Hilal,0.32,1.99,8.76,0.83,0.0,1.0
Besiktas,5.89,2.53,3.96,0.25,0.03,0.63
