Year,Hispanic,White,Black,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Two or more races
2000,17.2%,61.2%,14.8%,1%,3.5%,0.2%,2.2%
2001,17.8%,60.4%,14.8%,0.9%,3.6%,0.2%,2.3%
2002,18.3%,59.7%,14.8%,0.9%,3.7%,0.2%,2.5%
2003,18.9%,58.9%,14.7%,0.9%,3.7%,0.2%,2.6%
2004,19.5%,58.2%,14.6%,0.9%,3.8%,0.2%,2.7%
2005,20.1%,57.4%,14.5%,0.9%,3.9%,0.2%,2.9%
2006,20.8%,56.6%,14.5%,0.9%,4%,0.2%,3%
2007,21.5%,55.8%,14.4%,0.9%,4.1%,0.2%,3.2%
2008,22.1%,55%,14.3%,0.9%,4.2%,0.2%,3.3%
2009,22.7%,54.3%,14.2%,0.9%,4.3%,0.2%,3.5%
2010,23.2%,53.7%,14.1%,0.9%,4.4%,0.2%,3.7%
2011,23.5%,53.2%,14%,0.9%,4.5%,0.2%,3.8%
2012,23.8%,52.8%,13.9%,0.9%,4.5%,0.2%,3.9%
2013,24.1%,52.4%,13.8%,0.9%,4.6%,0.2%,3.9%
2014,24.4%,52%,13.8%,0.9%,4.7%,0.2%,4%
2015,24.6%,51.6%,13.8%,0.9%,4.8%,0.2%,4.1%
2016,24.9%,51.1%,13.8%,0.9%,4.9%,0.2%,4.2%
2017,25.2%,50.7%,13.7%,0.8%,5%,0.2%,4.3%
2018,25.5%,50.5%,13.7%,0.8%,5%,0.2%,4.3%
2019,25.6%,50.2%,13.7%,0.8%,5%,0.2%,44%
