Month,Brazil,China,Euro area,France,Germany,India,Japan,Russia,United Kingdom,United States
Nov '20,210.58,90.51,106.09,111.16,105.5,157.39,110.23,178.39,94.36,128.33
Oct '20,196.71,88.71,99.67,101.29,103.77,146.4,105.01,166.87,88.73,121.47
Sep '20,198.27,88.98,100.83,102.94,105.94,140.29,105.33,173.57,89.97,119.75
Aug '20,204.33,91.29,101.57,103.43,105.5,140.17,102.67,178.7,92.02,120.64
Jul '20,203.61,88.98,101.62,103.75,104.37,135.36,100.68,167.42,93.52,115.09
Jun '20,189.76,79.66,99.34,102.9,101.46,125.24,102.22,164.28,94.69,113.17
May '20,163.53,77.54,90.41,93.74,92.13,114.71,95.4,159.12,90.33,105.66
Apr '20,156.0,76.08,87.25,91.89,86.98,112.17,91.15,153.7,87.03,101.8
Mar '20,163.77,77.16,86.6,93.04,83.89,118.46,89.02,146.9,87.07,100.46
Feb '20,227.52,79.21,114.28,123.33,111.17,148.94,107.82,182.01,110.9,128.69
Jan '20,234.74,82.54,114.2,124.39,112.01,151.19,110.88,185.47,114.6,130.91
Dec '19,227.28,80.14,112.71,122.76,110.47,150.14,111.16,177.26,112.58,128.52
Nov '19,216.14,79.11,111.83,122.08,109.75,148.06,109.32,174.86,111.43,125.89
