Response,Germany,United Kingdom,United States
5/31,55%,35%,30%
5/30,59%,40%,30%
5/29,54%,31%,40%
5/28,54%,42%,36%
5/27,56%,33%,32%
5/26,48%,40%,40%
5/25,58%,30%,35%
5/24,59%,47%,43%
5/23,52%,36%,34%
5/22,58%,46%,36%
5/21,56%,43%,36%
5/20,56%,36%,37%
5/19,53%,45%,42%
5/18,60%,46%,35%
5/17,59%,44%,34%
5/16,53%,40%,35%
5/15,57%,41%,39%
5/14,59%,46%,33%
5/13,53%,46%,39%
5/12,50%,43%,32%
5/11,62%,43%,35%
5/10,55%,38%,41%
5/09,60%,47%,33%
5/08,54%,42%,36%
5/07,61%,47%,32%
5/06,57%,56%,38%
5/05,59%,53%,38%
5/04,56%,64%,39%
5/03,49%,53%,28%
5/02,71%,52%,29%
5/01,59%,54%,36%
4/30,53%,56%,41%
4/29,52%,53%,36%
4/28,50%,51%,33%
4/27,52%,50%,42%
4/26,62%,55%,30%
4/25,54%,53%,33%
4/24,53%,55%,36%
4/23,55%,48%,27%
4/22,58%,50%,47%
4/21,64%,48%,34%
4/20,51%,52%,32%
4/19,59%,50%,39%
4/18,65%,64%,25%
4/17,60%,59%,30%
4/16,57%,58%,46%
4/15,63%,56%,37%
4/14,59%,50%,46%
4/13,49%,58%,38%
4/12,54%,60%,39%
4/11,52%,60%,39%
4/10,55%,62%,39%
4/09,57%,65%,42%
4/08,62%,59%,33%
4/07,58%,61%,38%
4/06,54%,59%,30%
4/05,57%,43%,30%
4/04,62%,57%,41%
4/03,57%,47%,41%
4/02,59%,56%,42%
4/01,53%,56%,45%
3/31,54%,66%,38%
3/30,53%,62%,42%
3/29,59%,64%,44%
3/28,57%,60%,41%
3/27,55%,65%,35%
3/26,58%,59%,39%
3/25,60%,66%,38%
3/24,54%,57%,42%
3/23,59%,54%,39%
