Year,Present-day borders,Former borders
2020,331002.65,-
2019,329064.92,-
2018,327096.26,-
2017,325084.76,-
2016,323015.99,-
2015,320878.31,-
2014,318673.42,-
2013,316400.54,-
2012,314043.89,-
2011,311584.05,-
2010,309011.47,-
2009,306307.57,-
2008,303486.02,-
2007,300608.43,-
2006,297758.98,-
2005,294993.51,-
2004,292354.66,-
2003,289815.57,-
2002,287279.31,-
2001,284607.99,-
2000,281710.91,-
1999,278548.15,-
1998,275175.31,-
1997,271713.63,-
1996,268335.01,-
1995,265163.74,-
1994,262241.2,-
1993,259532.13,-
1992,256990.61,-
1991,254539.37,-
1990,252120.31,-
1989,249725.81,-
1988,247372.26,-
1987,245052.78,-
1986,242763.14,-
1985,240499.82,-
1984,238256.85,-
1983,236030.24,-
1982,233821.85,-
1981,231636.07,-
1980,229476.36,-
1979,227339.32,-
1978,225223.31,-
1977,223135.66,-
1976,221086.43,-
1975,219081.25,-
1974,217114.9,-
1973,215178.8,-
1972,213269.81,-
1971,211384.08,-
1970,209513.34,-
1969,207659.27,-
1968,205805.76,-
1967,203905.08,-
1966,201895.76,-
1965,199733.68,-
1964,197408.5,-
1963,194932.4,-
1962,192313.75,-
1961,189569.85,-
1960,186720.57,-
1959,183786.25,-
1958,180788.39,-
1957,177751.48,-
1956,174705.01,-
1955,171685.34,-
1954,168736.39,-
1953,165910,-
1952,163266.03,-
1951,160872.26,-
1950,158804.4,156697
1949,156000,-
1948,154000,-
1947,152000,-
1946,150000,-
1945,148000,-
1944,146000,-
1943,144000,-
1942,142000,-
1941,140000,-
1940,139000,131669
1939,137000,-
1938,136000,-
1937,135000,-
1936,134000,-
1935,133000,-
1934,132000,-
1933,131000,-
1932,131000,-
1931,129000,-
1930,128000,122775
1929,127000,-
1928,125000,-
1927,123000,-
1926,121000,-
1925,120000,-
1924,118000,-
1923,116000,-
1922,115000,-
1921,113000,-
1920,111000,105711
1919,110000,-
1918,108000,-
1917,107000,-
1916,105000,-
1915,104000,-
1914,102000,-
1913,101000,-
1912,99000,-
1911,97500,-
1910,95900,91972
1909,94200,-
1908,92400,-
1907,90600,-
1906,88800,-
1905,87000,-
1904,85300,-
1903,83600,-
1902,81900,-
1901,80300,-
1900,78800,75995
1899,77200,-
1898,75700,-
1897,74300,-
1896,72900,-
1895,71500,-
1894,70100,-
1893,68700,-
1892,67400,-
1891,66100,-
1890,64700,62948
1889,63300,-
1888,61900,-
1887,60500,-
1886,59100,-
1885,57700,-
1884,56400,-
1883,55100,-
1882,53900,-
1881,52600,-
1880,51400,50156
1879,50200,-
1878,49100,-
1877,47900,-
1876,46800,-
1875,45800,-
1874,44700,-
1873,43700,-
1872,42700,-
1871,41700,-
1870,40700,39818
1869,39800,-
1868,38800,-
1867,37900,-
1866,37000,-
1865,36100,-
1864,35300,-
1863,34400,-
1862,33600,-
1861,32800,-
1860,31900,31433
1859,31100,-
1858,30200,-
1857,29200,-
1856,28400,-
1855,27500,-
1854,26700,-
1853,25900,-
1852,25100,-
1851,24300,-
1850,23600,23192
1849,22900,-
1848,22200,-
1847,21600,-
1846,20900,-
1845,20300,-
1844,19700,-
1843,19100,-
1842,18500,-
1841,18000,-
1840,17500,17069
1839,17000,-
1838,16500,-
1837,16100,-
1836,15600,-
1835,15200,-
1834,14800,-
1833,14400,-
1832,14000,-
1831,13600,-
1830,13200,12866
1829,12900,-
1828,12500,-
1827,12200,-
1826,11800,-
1825,11500,-
1824,11200,-
1823,10900,-
1822,10600,-
1821,10300,-
1820,9970,8638
1819,9670,-
1818,9370,-
1817,9070,-
1816,8790,-
1815,8510,-
1814,8240,-
1813,7980,-
1812,7730,-
1811,7500,-
1810,7300,7240
1809,7110,-
1808,6970,-
1807,6840,-
1806,6720,-
1805,6590,-
1804,6470,-
1803,6350,-
1802,6230,-
1801,6110,-
1800,6000,5308
...,-,-
1790,-,3929
1780,-,2780
1770,-,2148
1760,-,1594
1750,-,1171
1740,-,906
1730,-,629
1720,-,466
1710,-,332
1700,-,251
1690,-,210
1680,-,152
1670,-,112
1660,-,75
1650,-,50
1640,-,27
1630,-,4.6
1620,-,2.2
1610,-,0.35
