Polish regions,2017,2018,2019
Dolnośląskie,2902.5,2901.2,2900.2
Kujawsko-pomorskie,2082.9,2077.8,2072.4
Lubelskie,2126.3,2117.6,2108.3
Lubuskie,1016.8,1014.5,1011.6
Łódzkie,2476.3,2466.3,2454.8
Małopolskie,3391.4,3400.6,3410.9
Mazowieckie,5384.6,5403.4,5423.2
Opolskie,990.1,986.5,982.6
Podkarpackie,2129.1,2129.0,2127.2
Podlaskie,1184.5,1181.5,1178.4
Pomorskie,2324.3,2333.5,2343.9
Śląskie,4548.2,4533.6,4517.6
Świętokrzyskie,1247.7,1241.5,1234.0
Warmińsko-mazurskie,1433.9,1429.0,1422.7
Wielkopolskie,3489.2,3494.0,3498.7
Zachodniopomorskie,1705.5,1701.0,1696.2
