Annual household income in U.S. dollars,"Under 15,000","15,000 to 24,999","25,000 to 34,999","35,000 to 49,999","50,000 to 74,999","75,000 to 99,999","100,000 to 149,999","150,000 to 199,999","200,000 and over"
2006,12.9%,12.6%,11.2%,16.6%,19%,11.2%,10.2%,3.8%,2.5%
2007,12.7%,12.6%,11.5%,16.8%,18.6%,11.9%,10.2%,3.3%,2.4%
2008,14.1%,12.9%,11.2%,17.6%,17.7%,10.3%,10.2%,3.6%,2.3%
2009,13.7%,13.3%,11.9%,16.3%,17.7%,11%,10%,3.4%,2.7%
2010,14.8%,13.1%,13.3%,14.8%,17.7%,11%,9.3%,3.7%,2.2%
2011,15.1%,12.7%,13.2%,16%,18.3%,9.5%,9.5%,3.5%,2.3%
2012,15.2%,13.1%,13.3%,15.6%,17.6%,10.4%,9.1%,3.3%,2.4%
2013,13.8%,14.4%,13.4%,15.1%,16.5%,9.9%,9.8%,4%,3.2%
2014,13.9%,13.1%,11.9%,15.4%,18%,11%,10.7%,3.4%,2.5%
2015,13%,12%,12.6%,14.8%,17.7%,11.6%,10.4%,4.3%,3.7%
2016,12.1%,10.9%,11.6%,15.5%,18%,12.2%,11.8%,4.3%,3.7%
2017,12.1%,11%,11.2%,14.6%,19.1%,11.7%,12%,4.3%,4.2%
2018,11.4%,11%,10.8%,15%,18.8%,12.7%,11.4%,4.5%,4.3%
