Country,2000,2017
Korea,14.7,18.5
Japan,24.8,16.2
Russian Federation,15.5,11.0
France,11.7,9.9
Hungary,8.9,9.6
Czech Republic,11.4,9.3
China,11.6,9.3
Portugal,9.4,9.1
Germany,10.7,8.9
Luxembourg,9.4,8.9
Latvia,11.4,8.4
Austria,9.8,8.3
Finland,12.6,8.2
Switzerland,12.8,8.1
Italy,7.5,7.8
OECD36,9.4,7.7
Estonia,9.2,7.6
Greece,8.4,7.5
Canada,7.2,7.4
Belgium,8.4,7.3
Lithuania,10.4,7.3
Slovak Republic,10.4,7.3
Spain,9,7.3
New Zealand,9.5,7.1
Poland,8.2,7.0
Slovenia,8.6,7.0
United Kingdom,10.7,6.9
Israel,10.8,6.8
Norway,8.9,6.5
South Africa,6.1,6.5
Iceland,6.1,6.1
Ireland,7.4,6.1
United States,6.8,6.1
Chile,5.8,6.0
Colombia,-,6.0
Sweden,7.1,5.7
Australia,6.3,5.6
Denmark,6.2,5.4
Netherlands,9,5.0
Turkey,5.9,4.1
Mexico,4.2,3.7
