Year,One person,Two persons,Three persons,Four persons,Five persons,Six persons,Seven persons or more
2020,36.2,44.74,19.34,16.26,7.45,2.92,1.55
2019,36.48,44.37,19.37,16.41,7.43,2.91,1.6
2018,35.74,44.04,19.33,16.47,7.44,2.85,1.71
2017,35.25,43.51,19.51,16.21,7.32,2.8,1.62
2016,35.39,42.79,19.42,16.27,7.55,2.81,1.6
2015,34.87,41.88,19.31,16.46,7.52,2.82,1.73
2014,34.18,41.59,19.37,16.24,7.45,2.77,1.61
2013,33.57,41.5,19.28,16.36,7.43,2.74,1.58
2012,33.19,40.98,19.24,16.05,7.27,2.73,1.62
2010,31.4,39.5,18.6,16.1,7.4,2.8,1.7
2009,31.7,39.2,18.6,16.1,7.1,2.6,1.5
2005,30.14,37.45,18.29,16.38,7.17,2.5,1.43
2000,26.7,34.7,17.2,15.3,7.0,2.4,1.4
1995,24.73,31.83,16.83,15.32,6.62,2.28,1.38
1990,23.0,30.1,16.1,14.5,6.2,2.1,1.3
1985,20.6,27.4,15.5,13.6,6.1,2.3,1.3
1980,18.3,25.3,14.1,12.7,6.1,2.5,1.8
1975,13.9,21.8,12.4,11.1,6.4,3.1,2.5
1970,10.9,18.3,10.9,10.0,6.5,3.5,3.2
