Quarter,Calls & lines,Broadband & TV,Other (incl. eliminations)
Q4 2017,700,560,29
Q3 2017,701,531,29
Q2 2017,701,534,26
Q1 2017,700,534,21
Q4 2016,688,531,27
Q3 2016,698,535,29
Q2 2016,697,527,27
Q1 2016,661,489,25
Q4 2015,672,495,28
Q3 2015,678,497,33
Q2 2015,650,452,27
Q1 2015,644,405,25
Q4 2014,657,414,29
Q3 2014,648,403,32
Q2 2014,641,387,28
Q1 2014,641,377,28
Q4 2013,659,377,32
Q3 2013,633,351,30
Q2 2013,633,330,24
Q1 2013,626,300,24
Q4 2012,650,305,27
Q3 2012,637,288,28
Q2 2012,642,281,29
Q1 2012,661,276,22
Q4 2011,692,269,19
Q3 2011,700,256,29
Q2 2011,697,253,31
Q1 2011,708,246,25
