Year,Women,Men
1980,21.6%,9.7%
1981,21.3%,9.6%
1982,17.3%,8.6%
1983,16.4%,8.4%
1984,14.8%,7.5%
1985,13.2%,6.9%
1986,11.9%,5.9%
1987,10.5%,5.4%
1988,8.6%,4.4%
1989,6.7%,3.5%
1990,6.9%,3.4%
1991,10.9%,6%
1992,9.7%,5.9%
1993,8.4%,5.1%
1994,7.8%,4.7%
1995,6.8%,3.9%
1996,6.8%,3.9%
1997,8.3%,5.1%
1998,7.7%,4.7%
1999,5.9%,3.4%
2000,4.8%,2.5%
2001,3.9%,2%
2002,3.7%,2.2%
2003,3.8%,2%
2004,3.6%,1.8%
2005,3.3%,1.7%
2006,2.9%,1.5%
2007,3.1%,1.4%
2008,3.9%,1.9%
2009,5.9%,3.9%
2010,7.3%,4.5%
2011,6.4%,3.9%
2012,6%,3.4%
2013,5.4%,3.3%
2014,4.8%,2.9%
2015,4.1%,2.5%
2016,3.4%,1.9%
2017,2.8%,1.7%
2018,2.6%,1.6%
2019,2.6%,1.3%
