Year and candidate,Democrat,Republican,Democratic Republican,State's Rights Democratic,American Independent,Faithless Elector
2020: Donald Trump,-,9,-,-,-,-
2016: Donald Trump*,-,9,-,-,-,-
2012: Mitt Romney,-,9,-,-,-,-
2008: John McCain,-,9,-,-,-,-
2004: George W. Bush*,-,9,-,-,-,-
2000: George W. Bush*,-,9,-,-,-,-
1996: Bob Dole,-,9,-,-,-,-
1992: George H. W. Bush,-,9,-,-,-,-
1988: George H. W. Bush*,-,9,-,-,-,-
1984: Ronald Reagan*,-,9,-,-,-,-
1980: Ronald Reagan*,-,9,-,-,-,-
1976: Jimmy Carter*,9,-,-,-,-,-
1972: Richard Nixon*,-,9,-,-,-,-
1968: George Wallace,-,-,-,-,10,-
1964: Barry Goldwater,-,10,-,-,-,-
"1960****: Harry F. Byrd (6), John F. Kennedy* (5)",11,-,-,-,-,-
1956***: Adlai Stevenson,10,-,-,-,-,1
1952: Adlai Stevenson,11,-,-,-,-,-
1948: Strom Thurmond,-,-,-,11,-,-
1944: Franklin D. Roosevelt*,11,-,-,-,-,-
1940: Franklin D. Roosevelt*,11,-,-,-,-,-
1936: Franklin D. Roosevelt*,11,-,-,-,-,-
1932: Franklin D. Roosevelt*,11,-,-,-,-,-
1928: Al Smith,12,-,-,-,-,-
1924: John W. Davis,12,-,-,-,-,-
1920: James M. Cox,12,-,-,-,-,-
1916: Woodrow Wilson*,12,-,-,-,-,-
1912: Woodrow Wilson*,12,-,-,-,-,-
1908: William Jennings Bryan,11,-,-,-,-,-
1904: Alton B. Parker,11,-,-,-,-,-
1900: William Jennings Bryan,11,-,-,-,-,-
1896: William Jennings Bryan,11,-,-,-,-,-
1892: Grover Cleveland*,11,-,-,-,-,-
1888: Grover Cleveland,10,-,-,-,-,-
1884: Grover Cleveland*,10,-,-,-,-,-
1880: Winfield Scott Hancock,10,-,-,-,-,-
1876: Samuel J. Tilden,10,-,-,-,-,-
1872: Ulysses S. Grant*,-,10,-,-,-,-
1868: Ulysses S. Grant*,-,8,-,-,-,-
1864: Seceded from union,-,-,-,-,-,-
1860: John C. Breckinridge,9,-,-,-,-,-
1856: James Buchanan*,9,-,-,-,-,-
1852: Franklin Pierce*,9,-,-,-,-,-
1848: Lewis Cass,9,-,-,-,-,-
1844: James K. Polk*,9,-,-,-,-,-
1840: Martin Van Buren,7,-,-,-,-,-
1836: Martin Van Buren*,7,-,-,-,-,-
1832: Andrew Jackson*,7,-,-,-,-,-
1828: Andrew Jackson*,5,-,-,-,-,-
1824: Andrew Jackson,-,-,5,-,-,-
1820: James Monroe*,-,-,3,-,-,-
