Response,Completely agree / mostly agree,Completely disagree / mostly disagree,Don't know / refused
India,63%,32%,5%
Pakistan,51%,39%,10%
Egypt,50%,47%,3%
China,48%,50%,2%
Jordan,44%,54%,2%
Japan,35%,64%,3%
Poland,34%,58%,8%
Nigeria,34%,66%,1%
Indonesia,28%,71%,1%
South Korea,27%,69%,3%
Turkey,25%,69%,6%
Kenya,22%,77%,0%
Russia,22%,73%,5%
Germany,16%,83%,1%
United States,15%,83%,2%
Mexico,14%,84%,3%
France,14%,87%,0%
Brazil,11%,87%,1%
Argentina,10%,88%,2%
Britain,9%,87%,3%
Spain,7%,93%,0%
Lebanon,4%,97%,0%
