Country,Not a moral issue,Unacceptable,Acceptable
Czech Republic,18%,18%,49%
Japan,19%,28%,44%
Germany,25%,19%,43%
France,47%,14%,38%
Spain,28%,26%,35%
Australia,32%,26%,29%
China,20%,34%,29%
Canada,37%,26%,28%
Britain,28%,25%,27%
Russia,10%,44%,25%
Israel,23%,35%,25%
Italy,11%,41%,25%
South Korea,12%,58%,19%
Turkey,14%,52%,18%
India,10%,58%,17%
United States,23%,49%,17%
Mexico,12%,63%,16%
Argentina,11%,56%,16%
Greece,11%,54%,16%
Chile,9%,64%,15%
Senegal,22%,52%,14%
Poland,13%,47%,13%
South Africa,8%,61%,10%
Venezuela,6%,77%,8%
Lebanon,18%,56%,8%
Brazil,9%,79%,7%
Palestinian ter.,13%,54%,7%
Bolivia,4%,83%,6%
Egypt,22%,62%,5%
Tunisia,6%,77%,4%
Malaysia,8%,79%,4%
Jordan,36%,63%,4%
Kenya,8%,82%,3%
Philippines,4%,93%,2%
Ghana,2%,92%,2%
El Salvador,3%,85%,2%
Uganda,6%,88%,2%
Nigeria,10%,80%,2%
Pakistan,4%,85%,1%
Indonesia,1%,89%,1%
