Bundesliga Club,Yellow card,Yellow-red card,Red card,Points
Borussia Dortmund,19,0,0,19
SC Freiburg,21,0,0,21
RasenBallsport Leipzig,22,0,0,22
VfL Wolfsburg,22,0,0,22
Arminia Bielefeld,22,0,0,22
Hertha BSC,20,1,0,23
Bayer 04 Leverkusen,24,0,0,24
FC Bayern München,20,0,1,25
1.FC Köln,25,1,0,28
1.FSV Mainz 05,25,1,0,28
1.FC Union Berlin,23,0,1,28
FC Augsburg,22,2,0,28
Borussia Mönchengladbach,27,0,1,32
VfB Stuttgart,29,1,0,32
SV Werder Bremen,29,1,0,32
FC Schalke 04,33,1,0,36
Eintracht Frankfurt,36,1,0,39
TSG 1899 Hoffenheim,26,2,2,42
