Year,Male population,Female popultion
2020,628.46,698.08
2019,626.63,699.02
2018,623.64,699.27
2017,620.17,699.22
2016,617.15,699.36
2015,615.23,700.11
2014,614.68,701.6
2013,615.34,703.73
2012,616.84,706.32
2011,618.64,709.06
2010,620.36,711.75
2009,621.82,714.32
2008,623.21,716.86
2007,624.79,719.51
2006,626.96,722.41
2005,629.99,725.66
2004,634.12,729.45
2003,639.22,733.68
2002,644.58,738.16
2001,649.23,742.51
2000,652.56,746.55
1999,653.93,749.86
1998,653.72,752.63
1997,653.72,755.96
1996,656.37,761.37
1995,663.23,769.79
1994,675.23,781.86
1993,691.29,796.78
1992,708.55,812.26
1991,723.05,825.17
1990,731.96,833.29
1989,734.24,835.72
1988,730.9,833.3
1987,723.71,827.5
1986,715.4,820.64
1985,707.99,814.41
1984,701.96,809.24
1983,696.75,804.68
1982,692.11,800.53
1981,687.5,796.38
1980,682.54,791.9
1979,677.26,787.16
1978,671.89,782.38
1977,666.41,777.48
1976,660.78,772.4
1975,654.96,767.09
1974,648.95,761.52
1973,642.75,755.73
1972,636.27,749.8
1971,629.45,743.85
1970,622.25,737.95
1969,614.66,732.16
1968,606.73,726.44
1967,598.48,720.77
1966,589.96,715.02
1965,581.22,709.19
1964,572.24,703.2
1963,563.09,697.13
1962,553.99,691.09
1961,545.28,685.22
1960,537.18,679.64
1959,529.75,674.35
1958,522.91,669.35
1957,516.48,664.54
1956,510.25,659.85
1955,504.04,655.19
1954,497.7,650.51
1953,491.12,645.79
1952,484.23,641.01
1951,477.02,636.22
1950,469.52,631.48
