region in the United Kingdom,Outdoor fish,Indoor fish,Cats,Dogs,Rabbits,Guinea Pigs,Indoor birds,Hamsters
North East,3%,7%,15%,36%,1%,0%,2%,1%
North West,3%,7%,17%,27%,2%,0%,2%,1%
Yorks&Humber,2%,6%,16%,23%,3%,1%,1%,1%
East Midlands,5%,8%,19%,29%,2%,1%,2%,1%
West Midlands,5%,9%,18%,28%,2%,1%,1%,0%
East of England,5%,7%,18%,23%,1%,1%,1%,1%
London,2%,5%,14%,9%,1%,0%,0%,0%
South East,5%,7%,20%,21%,2%,1%,1%,1%
South West,4%,7%,21%,25%,1%,1%,1%,1%
Wales,3%,8%,18%,29%,2%,0%,1%,2%
Scotland,1%,6%,14%,24%,1%,0%,1%,1%
Northern Ireland,7%,7%,12%,31%,3%,0%,1%,0%
