Field of study,Male,Female
"Architecture, engineering and related technologies",58725,13248
"Business, management and public administration",54750,69915
Social and behavioural sciences and law,22170,56721
Health and related fields,17175,63615
Humanities,16476,29103
Physical and life sciences and technologies,14739,18780
"Mathematics, computer and information sciences",13677,5625
"Personal, protective and transportation services",9750,8214
"Visual and performing arts, and communications technologies",8127,12810
Education,6306,21885
"Agriculture, natural resources and conservation",4458,5190
Other instructional programs,2190,3081
Personal improvement and leisure,921,1065
