Year,Hospitals,Other institutions,Physicians,Dental services,Vision care,Other professionals
2019*,6884.0,8228.4,644.6,15825.9,5067.7,4709.9
2018*,6696.3,7953.0,604.9,15176.1,4871.5,4490.8
2017,6489.5,7618.8,610.8,14609.1,4683.7,4301.1
2016,6640.1,7283.3,618.3,14290.2,4237.3,3796.6
2015,6459.1,7102.1,460.4,13124.9,4083.7,3562.1
2014,6130.2,6660.8,409.2,12326.2,3727.7,3459.2
2013,5891.9,6402.2,389.8,12001.2,3645.6,2942.1
2012,5658.4,5978.7,443.2,11701.2,3573.9,2867.5
2011,5549.2,5714.0,364.2,11172.0,3670.4,2359.0
2010,5293.2,5583.3,295.9,11205.9,3590.1,2173.8
