Year and candidate,Democratic,Republican,Faithless elector
2020: Donald Trump,-,5,-
2016: Donald Trump*,-,5,-
2012: Mitt Romney,-,5,-
2008: John McCain,-,5,-
2004: George W. Bush*,-,5,-
2000: George W. Bush*,-,5,-
1996: Bill Clinton*,5,-,-
1992: Bill Clinton*,5,-,-
1988: Michael Dukakis,5,-,1
1984: Ronald Reagan*,-,6,-
1980: Jimmy Carter,6,-,-
1976: Jimmy Carter*,6,-,-
1972: Richard Nixon*,-,6,-
1968: Hubert Humphrey,7,-,-
1964: Lyndon B. Johnson*,7,-,-
1960: John F. Kennedy*,8,-,-
1956: Dwight D. Eisenhower*,-,8,-
1952: Adlai Stevenson,8,-,-
1948: Harry S. Truman*,8,-,-
1944: Franklin D. Roosevelt*,8,-,-
1940: Franklin D. Roosevelt*,8,-,-
1936: Franklin D. Roosevelt*,8,-,-
1932: Franklin D. Roosevelt*,8,-,-
1928: Herbert Hoover*,-,8,-
1924: Calvin Coolidge*,-,8,-
1920: Warren G. Harding*,-,8,-
"1916: Charles Evans Hughes (7), Woodrow Wilson* (1)",1,7,-
1912: Woodrow Wilson*,8,-,-
1908: William Howard Taft*,-,7,-
1904: Theodore Roosevelt*,-,7,-
1900: William McKinley*,-,6,-
1896: William McKinley*,-,6,-
1892: Grover Cleveland*,6,-,-
1888: Grover Cleveland,6,-,-
1884: Grover Cleveland*,6,-,-
1880: Winfield Hancock,5,-,-
1876: Samuel J. Tilden,5,-,-
1872: Ulysses S. Grant*,-,5,-
1868: Ulysses S. Grant*,-,5,-
1864: Abraham Lincoln*,-,5,-
