Year,Men,Women
Rio 2016,230.0,248.92
London 2012,214.08,250.74
Beijing 2008,213.11,240.23
Athens 2004,214.18,237.9
Sydney 2000,212.07,245.1
Atlanta 1996,215.78,240.83
Barcelona 1992,220.12,235.3
Seoul 1988,215.96,233.96
Los Angeles 1984,212.53,243.25
Moscow 1980,218.4,236.6
Montreal 1976,219.17,245.48
Munich 1972,216.33,241.38
Mexico City 1968,214.9,-
Tokyo 1964,218.1,-
Rome 1960,215.6,-
Melbourne 1956,221.2,-
Helsinki 1952,225.2,-
London 1948,229.8,-
Berlin 1936,227.8,-
Los Angeles 1932,231.2,-
Amsterdam 1928,233.2,-
Paris 1924,233.6,-
Antwerp 1920,241.8,-
Stockholm 1912,236.8,-
London 1908,243.4,-
St. Louis 1904,245.4,-
Paris 1900,246.2,-
Athens 1896,273.2,-
