Response,Laptop computer,Smart doorbell,Smart home security camera,Smartwatch,Tablet,Wearable activity fitness tracker,"Computer accessory (keyboard, monitor, headset)",Digital media streaming device,Headphones/Earbuds,Smart speaker,Smartphone,TV,Video game console,Virtual reality (VR) headset
Wave 19,13%,6%,4%,6%,10%,4%,10%,9%,18%,11%,17%,13%,10%,3%
Wave 18,12%,6%,4%,6%,9%,5%,9%,7%,19%,9%,14%,11%,7%,2%
Wave 17,14%,5%,3%,6%,10%,4%,9%,7%,21%,11%,18%,12%,10%,2%
Wave 16,16%,4%,6%,7%,10%,4%,11%,10%,21%,11%,18%,15%,10%,4%
Wave 15,17%,5%,5%,6%,11%,4%,10%,9%,19%,12%,20%,13%,11%,3%
Wave 14,14%,6%,5%,6%,11%,6%,10%,8%,18%,9%,18%,14%,10%,2%
Wave 13,14%,5%,4%,6%,11%,5%,10%,7%,17%,9%,17%,11%,8%,2%
Wave 12,12%,3%,4%,6%,9%,3%,10%,7%,19%,9%,13%,12%,7%,2%
Wave 11,16%,5%,5%,7%,11%,5%,9%,8%,21%,11%,18%,14%,11%,3%
Wave 10,17%,5%,5%,7%,11%,5%,9%,8%,17%,11%,17%,12%,9%,3%
Wave 9,15%,4%,4%,6%,11%,4%,7%,9%,15%,11%,14%,10%,7%,4%
Wave 8,19%,4%,4%,6%,11%,5%,8%,9%,19%,11%,18%,13%,8%,2%
Wave 7,14%,4%,4%,6%,11%,4%,9%,8%,18%,10%,18%,14%,8%,3%
Wave 6,14%,4%,5%,7%,11%,5%,9%,10%,18%,10%,18%,12%,9%,4%
Wave 5,12%,4%,4%,6%,8%,5%,8%,7%,17%,10%,13%,10%,8%,2%
Wave 4,14%,4%,5%,6%,11%,4%,10%,9%,20%,12%,18%,12%,9%,3%
Wave 3,15%,4%,5%,7%,12%,6%,9%,8%,16%,9%,18%,13%,10%,3%
Wave 2,14%,5%,6%,7%,9%,5%,7%,7%,15%,8%,16%,11%,9%,2%
Wave 1,16%,5%,5%,6%,11%,4%,10%,10%,19%,10%,18%,14%,10%,3%
