Quarter,Groningen,Friesland,Drenthe,Overijssel,Flevoland,Gelderland,Utrecht,North Holland,South Holland,Zeeland,North Brabant,Limburg
Q2 2020*,2932,2991,2254,6151,1706,9460,7675,22001,19269,1576,14447,5730
Q1 2020*,2934,3002,2253,6150,1704,9451,7685,21923,19291,1585,14443,5745
Q4 2019,2940,2995,2262,6165,1702,9428,7718,21966,19292,1560,14474,5757
Q3 2019,2966,2983,2259,6161,1708,9453,7719,21962,19382,1559,14493,5747
Q2 2019,2976,2988,2252,6167,1707,9480,7714,22020,19418,1556,14493,5764
Q1 2019,2984,3002,2259,6171,1710,9478,7846,22108,19393,1560,14481,5794
Q4 2018,2986,3008,2263,6180,1711,9509,7653,22161,19617,1564,14447,5805
Q3 2018,2996,3006,2273,6152,1705,9543,7597,22186,19598,1579,14414,5849
Q2 2018,2997,3009,2263,6167,1707,9573,7609,22163,19686,1581,14453,5898
Q1 2018,3051,3015,2271,6181,1733,9542,7582,22243,19738,1588,14465,5900
Q4 2017,3071,3018,2265,6179,1734,9531,7593,22295,19773,1586,14496,5896
Q3 2017,3074,3020,2270,6162,1789,9520,7591,22303,19728,1601,14492,5897
Q2 2017,3086,3014,2307,6176,1784,9534,7567,22252,19779,1604,14491,5913
Q1 2017,3127,3015,2399,6198,1787,9540,7568,22316,19813,1615,14397,5935
Q4 2016,3138,3011,2371,6230,1782,9563,7542,22315,19867,1605,14396,5930
Q3 2016,3114,3033,2366,6276,1785,9562,7523,22318,19882,1597,14372,5959
Q2 2016,3120,3031,2367,6263,1800,9581,7559,22315,19957,1597,14329,5997
Q1 2016,3125,3020,2325,6273,1810,9585,7541,22330,19918,1597,14307,5986
Q4 2015,3127,3022,2224,6235,1812,9603,7543,22403,19943,1601,14296,6003
Q3 2015,3120,3032,2201,6227,1811,9591,7533,22505,20002,1593,14297,5980
Q2 2015,3116,3044,2197,6247,1793,9559,7569,22499,20009,1574,14294,5964
Q1 2015,3123,3057,2196,6245,1796,9525,7568,22343,20048,1583,14275,5961
Q4 2014,3147,3072,2193,6237,1798,9513,7504,22353,20040,1581,14225,5903
Q3 2014,3149,3066,2188,6227,1798,9506,7476,22240,19989,1580,14198,5857
Q2 2014,3250,3062,2177,6215,1788,9516,7424,22143,20003,1575,14146,5847
Q1 2014,3255,3050,2175,6184,1790,9510,7380,22085,20022,1581,14007,5811
Q4 2013,3261,3015,2164,6196,1739,9473,7336,22082,20011,1579,13906,5751
Q3 2013,3265,2997,2126,6192,1732,9417,7313,21974,19839,1576,13796,5722
Q2 2013,3261,2995,2124,6149,1716,9378,7279,21832,19838,1578,13791,5722
Q1 2013,3222,2987,2120,6057,1722,9347,7207,21837,19915,1575,13728,5632
Q4 2012,3193,2961,2113,6034,1717,9266,7166,21811,19835,1540,13569,5602
Q3 2012,3186,2947,2075,5972,1717,9159,7094,21705,19774,1530,13458,5559
Q2 2012,3114,2947,2065,5906,1719,9081,7014,21641,19768,1522,13446,5548
Q1 2012,3063,2935,2045,5903,1706,8971,6952,21536,19663,1528,13316,5558
