Country,2017,2018,2019
United States,3314,3199,3142
United Kingdom,384,415,446
China,199,209,210
Russia,134,199,197
Korea,130,149,170
Canada,127,138,146
Chile,68,87,105
Mexico,107,101,100
Ireland,72,78,80
Spain,41,72,67
Turkey,47,62,64
Egypt,45,49,54
Colombia,43,46,50
United Arab Emirates,45,45,46
Peru,38,41,45
Kuwait,37,41,45
Venezuela,39,39,39
Saudi Arabia,50,27,38
Costa Rica,23,24,29
Netherlands,11,18,28
Puerto Rico,27,27,27
Qatar,21,21,25
El Salvador,23,25,25
Belarus,10,15,21
Bahrain,22,20,19
Ecuador,17,17,19
Dominican Republic,17,18,19
Philippines,18,18,18
Guatemala,12,13,14
Panama,13,12,12
Tunisia,4,6,9
Azerbaijan,4,6,9
Trinidad,7,7,9
Oman,10,9,8
Cyprus,8,8,8
Poland,1,6,6
Morocco,3,6,6
Kazakhstan,-,3,6
Bolivia,4,5,5
Pakistan,-,-,5
France,3,3,4
Nicaragua,4,4,4
Israel,2,4,3
Guam,3,3,3
Kyrgyzstan,-,3,3
Bahamas,-,2,3
Cayman Islands,2,2,2
Iraq,1,1,1
Portugal,-,-,1
Jordan,9,-,-
