Year,Homicides,Homicides (during Prohibition),Suicides,Suicides (during Prohibition)
1950,5.3,-,11.4,-
1949,5.4,-,11.4,-
1948,5.9,-,11.2,-
1947,6.1,-,11.5,-
1946,6.4,-,11.5,-
1945,5.7,-,11.2,-
1944,5,-,10,-
1943,5.1,-,10.2,-
1942,5.9,-,12,-
1941,6,-,12.8,-
1940,6.3,-,14.4,-
1939,6.4,-,14.1,-
1938,6.8,-,15.3,-
1937,7.6,-,15,-
1936,8,-,14.3,-
1935,8.3,-,14.3,-
1934,9.5,-,14.9,-
1933,-,9.7,-,15.9
1932,-,9,-,17.4
1931,-,9.2,-,16.8
1930,-,8.8,-,15.6
1929,-,8.4,-,13.9
1928,-,8.6,-,13.5
1927,-,8.4,-,13.2
1926,-,8.4,-,12.6
1925,-,8.3,-,12
1924,-,8.1,-,11.9
1923,-,7.8,-,11.5
1922,-,8,-,11.7
1921,-,8.1,-,12.4
1920,-,6.8,-,10.2
1919,7.2,-,11.5,-
1918,6.5,-,12.3,-
1917,6.9,-,13,-
1916,6.9,-,13.7,-
1915,5.9,-,16.2,-
1914,6.2,-,16.1,-
1913,6.1,-,15.4,-
1912,5.4,-,15.6,-
1911,5.5,-,16,-
1910,4.6,-,15.3,-
1909,4.2,-,16,-
1908,4.8,-,16.8,-
1907,4.9,-,14.5,-
1906,3.9,-,12.8,-
1905,2.1,-,13.5,-
1904,1.3,-,12.2,-
1903,1.1,-,11.3,-
1902,1.2,-,10.3,-
1901,1.2,-,10.4,-
1900,1.2,-,10.2,-
