Year,Brazil,Mexico,Russia,India,Indonesia,Italy,France,United States,United Kingdom
1-Mar,0,0,0,0,0,4,0,0,0
2-Mar,0,0,0,0,0,5,0,0,0
3-Mar,0,0,0,0,0,7,0,1,0
4-Mar,0,0,0,0,0,10,0,1,0
5-Mar,0,0,0,0,0,14,0,2,0
6-Mar,0,0,0,0,0,19,1,2,0
7-Mar,0,0,0,0,0,25,1,2,0
8-Mar,0,0,0,0,0,29,1,2,0
9-Mar,0,0,0,0,0,47,2,3,0
10-Mar,0,0,0,0,0,59,4,3,0
11-Mar,0,0,0,0,0,79,4,3,1
12-Mar,0,0,0,0,0,103,6,3,1
13-Mar,0,0,0,0,0,124,8,4,1
14-Mar,0,0,0,0,1,153,10,5,1
15-Mar,0,0,0,0,1,173,12,6,4
16-Mar,0,0,0,0,1,206,15,7,6
17-Mar,0,0,0,0,1,242,17,8,9
18-Mar,0,0,0,0,1,268,20,11,11
19-Mar,1,0,0,0,1,307,28,17,16
20-Mar,1,0,0,0,3,342,44,16,22
21-Mar,2,0,0,0,3,395,53,30,26
22-Mar,3,0,0,0,5,484,67,40,32
23-Mar,4,0,0,1,6,524,78,57,35
24-Mar,5,1,0,1,6,560,102,72,43
25-Mar,6,1,0,1,7,616,132,99,61
26-Mar,8,1,0,1,8,647,155,129,84
27-Mar,10,1,0,2,8,680,189,164,103
28-Mar,12,1,1,2,9,729,221,207,140
29-Mar,14,2,1,3,9,742,250,264,173
30-Mar,16,3,1,3,9,758,276,291,198
31-Mar,18,3,1,3,10,788,309,369,241
1-Apr,22,3,2,4,12,801,346,468,277
2-Apr,26,5,3,5,14,807,386,584,346
3-Apr,32,6,4,6,13,822,401,680,414
4-Apr,38,7,4,7,13,792,645,779,478
5-Apr,45,9,5,7,13,763,749,901,544
6-Apr,50,11,5,11,12,730,782,1020,600
7-Apr,56,14,5,12,12,705,841,1117,627
8-Apr,67,16,6,16,12,671,972,1259,727
9-Apr,80,20,6,17,12,645,977,1383,779
10-Apr,92,21,7,20,16,623,1101,1520,844
11-Apr,100,25,9,24,18,596,956,1660,899
12-Apr,99,28,9,28,19,587,896,1730,912
13-Apr,105,29,12,28,25,573,902,1780,920
14-Apr,111,30,14,32,27,563,865,1809,942
15-Apr,124,38,16,33,34,563,772,1880,938
16-Apr,134,39,19,35,33,568,900,2310,917
17-Apr,140,42,22,34,31,556,816,2371,905
18-Apr,155,45,26,34,31,557,783,2611,876
19-Apr,175,54,30,33,30,537,784,2615,913
20-Apr,177,56,33,34,30,537,761,2653,881
21-Apr,178,54,37,36,27,521,757,2699,859
22-Apr,173,64,41,38,22,511,724,2715,880
23-Apr,167,74,45,38,24,491,596,2257,875
24-Apr,198,83,46,40,22,482,562,2383,825
25-Apr,218,96,49,42,24,460,509,1995,839
26-Apr,238,94,53,45,26,451,470,2040,797
27-Apr,249,95,55,47,23,426,448,2028,787
28-Apr,281,103,56,49,25,409,433,1958,752
29-Apr,325,102,59,52,22,387,409,1899,715
30-Apr,366,109,66,56,21,371,392,2026,704
1-May,370,113,74,61,21,345,360,1863,697
2-May,380,107,79,63,16,324,336,2007,653
3-May,391,108,77,68,16,332,307,1885,620
4-May,403,115,76,72,15,320,291,1829,604
5-May,397,120,80,91,14,300,273,1813,597
6-May,415,134,83,98,14,279,267,1818,562
7-May,439,139,81,101,16,286,246,1781,545
8-May,464,157,79,106,20,284,230,1809,520
9-May,510,170,79,109,20,281,234,1730,503
10-May,554,185,86,115,18,241,221,1773,459
11-May,585,187,91,119,18,239,212,1692,453
12-May,600,186,93,104,18,237,206,1679,441
13-May,640,203,95,103,19,228,209,1616,425
14-May,659,217,96,109,19,203,181,1529,397
15-May,692,217,97,109,16,201,205,1462,382
16-May,703,230,99,110,19,201,189,1484,349
17-May,715,242,101,109,19,195,190,1423,368
18-May,714,245,102,118,25,193,190,1433,347
19-May,753,251,102,124,29,181,179,1381,341
20-May,796,249,103,127,31,180,147,1362,325
21-May,816,267,109,127,31,175,151,1329,308
22-May,865,290,113,133,34,160,113,1257,296
23-May,890,317,119,138,36,144,105,1206,288
24-May,911,305,122,142,37,139,98,1190,261
25-May,935,317,130,142,32,125,94,1165,305
26-May,954,329,130,143,29,124,76,1124,299
27-May,934,353,139,148,28,112,73,999,247
28-May,963,358,142,157,33,106,66,1000,260
29-May,958,362,149,160,31,94,64,988,270
30-May,976,347,161,179,28,88,61,976,268
31-May,974,371,167,185,32,86,63,956,258
1-Jun,950,362,165,196,34,90,62,952,213
2-Jun,923,362,175,204,36,85,57,990,210
3-Jun,955,358,176,211,35,82,59,1038,227
4-Jun,993,447,178,221,32,76,61,962,203
5-Jun,1038,500,177,235,32,78,58,942,172
6-Jun,1021,536,165,239,36,78,57,901,170
7-Jun,1014,533,167,252,33,72,53,860,169
8-Jun,1020,538,167,249,34,69,50,876,168
9-Jun,1028,555,159,267,35,70,54,837,162
10-Jun,1030,573,158,276,37,73,51,832,154
11-Jun,1019,518,163,290,37,73,43,821,142
