Country,July,August,September,October
Pakistan,405,309,311,792
Nigeria,292,169,165,501
Bangladesh,175,88,98,471
Tunisia,95,69,89,220
El Salvador,123,30,35,148
Somalia,38,20,26,109
Mali,63,14,17,104
Gambia,56,37,33,102
Venezuela,109,39,59,91
Afghanistan,58,43,42,85
Senegal,58,17,29,78
Ivory Coast,62,39,25,64
Iraq,24,13,26,64
Morocco,31,12,19,61
Ukraine,27,16,29,57
Peru,58,31,23,56
Georgia,33,15,20,51
Colombia,72,19,19,50
Ghana,56,19,7,43
Egypt,20,10,19,42
Albania,46,12,17,34
Brazil,23,17,13,31
Libya,15,10,6,27
Russia,3,8,-,-
Others,297,108,154,307
