Month,Infected,Cured,Deaths
Feb 27,1,-,-
Feb 28,1,-,-
Feb 29,1,-,-
Mar 01,1,-,-
Mar 02,1,-,-
Mar 03,2,-,-
Mar 04,2,-,-
Mar 05,3,-,-
Mar 06,10,-,-
Mar 07,10,-,-
Mar 08,10,-,-
Mar 09,10,-,-
Mar 10,12,-,-
Mar 11,16,-,-
Mar 12,17,-,-
Mar 13,79,-,-
Mar 14,115,-,-
Mar 15,171,1,-
Mar 16,205,1,-
Mar 17,225,1,-
Mar 18,258,1,-
Mar 19,267,1,-
Mar 20,283,2,-
Mar 21,306,2,-
Mar 22,326,4,-
Mar 23,352,7,-
Mar 24,369,8,-
Mar 25,404,8,1
Mar 26,538,11,1
Mar 27,575,11,1
Mar 28,640,20,1
Mar 29,679,20,3
Mar 30,715,20,3
Mar 31,745,26,4
Apr 1,779,33,5
Apr 2,858,45,11
Apr 3,961,48,12
Apr 4,1018,59,13
Apr 5,1097,62,15
Apr 6,1108,62,19
Apr 7,1149,69,21
Apr 8,1185,72,24
Apr 9,1207,83,24
Apr 10,1258,93,24
Apr 11,1304,93,24
Apr 12,1309,98,25
Apr 13,1332,102,28
Apr 14,1373,115,31
Apr 15,1400,117,35
Apr 16,1437,133,36
Apr 17,1459,145,38
Apr 18,1512,162,38
Apr 19,1528,164,40
Apr 20,1535,165,40
Apr 21,1552,169,43
Apr 22,1559,184,44
Apr 23,1592,192,45
Apr 24,1605,206,46
Apr 25,1635,228,46
Apr 26,1643,233,49
Apr 27,1647,233,50
Apr 28,1660,233,50
Apr 29,1666,236,50
Apr 30,1689,249,52
May 1,1694,253,52
May 2,1699,256,53
May 3,1700,247,55
May 4,1703,247,55
May 5,1711,254,55
May 6,1713,257,55
May 7,1720,264,56
May 8,1725,268,56
May 9,1733,276,60
May 10,1739,276,60
May 11,1741,278,61
May 12,1746,280,61
May 13,1751,282,61
May 14,1758,284,62
May 15,1766,287,63
May 16,1770,289,63
May 17,1774,289,63
May 18,1784,290,64
May 19,1791,298,64
May 20,1794,305,64
May 21,1800,311,64
May 22,1807,314,64
May 23,1821,317,64
May 24,1823,317,64
May 25,1824,318,65
May 26,1834,322,65
May 27,1840,327,66
May 28,1851,328,66
May 29,1859,329,67
May 30,1865,334,67
May 31,1869,334,68
Jun 1,1870,334,68
Jun 2,1870,334,68
Jun 3,1880,342,69
Jun 4,1890,342,69
Jun 5,1910,347,69
Jun 6,1931,350,69
Jun 7,1939,350,69
Jun 8,1940,350,69
Jun 9,1947,352,69
Jun 10,1958,353,69
Jun 11,1965,355,69
Jun 12,1970,357,69
Jun 13,1973,357,69
Jun 14,1973,357,69
Jun 15,1974,357,69
Jun 16,1975,358,69
Jun 17,1977,361,69
Jun 18,1977,362,69
Jun 19,1979,365,69
Jun 20,1981,370,69
Jun 21,1981,370,69
Jun 22,1981,370,69
Jun 23,1982,372,69
Jun 24,1983,372,69
Jun 25,1984,385,69
Jun 26,1986,386,69
Jun 29,1987,388,69
Jun 30,1989,389,69
Jul 1,1989,389,69
Jul 3,1991,391,69
Jul 6,1994,391,69
Jul 10,2013,391,69
Jul 13,2014,392,69
Jul 20,2021,1912,69
Jul 27,2034,1923,69
Aug 3,2080,1935,63
Aug 10,2158,1962,63
Aug 14,2177,1976,63
Aug 24,2275,2025,64
Aug 31,2375,2088,64
Sep 7,2532,2176,64
Oct 12,3883,2967,68
Oct 20,4127,3270,71
Nov 4,5125,3904,73
Nov 12,6881,4453,76
Nov 20,9076,5296,87
