Month,Confirmed,Deaths
Dec 20,95000,4764
Dec 19,95000,4763
Dec 18,94800,4763
Dec 17,94700,4759
Dec 16,94600,4757
Dec 15,94500,4757
Dec 14,94400,4754
Dec 13,94300,4751
Dec 12,94200,4749
Dec 11,94100,4748
Dec 10,94000,4748
Dec 9,93900,4748
Dec 8,93800,4746
Dec 7,93700,4746
Dec 6,93600,4746
Dec 5,93500,4746
Dec 4,93300,4746
Dec 3,93200,4745
Dec 2,93100,4744
Dec 1,93000,4743
Nov 30,92900,4743
Nov 29,92800,4743
Nov 28,92700,4743
Nov 27,92600,4742
Nov 26,92500,4742
Nov 25,92400,4742
Nov 24,92300,4742
Nov 23,92200,4742
Nov 22,92100,4742
Nov 21,92000,4742
Nov 20,92000,4742
Nov 19,91900,4742
Nov 18,91900,4742
Nov 17,91900,4742
Nov 16,91900,4742
Nov 15,91800,4742
Nov 14,91800,4742
Nov 13,91800,4742
Nov 12,91800,4742
Nov 11,91800,4742
Nov 10,91700,4742
Nov 9,91700,4741
Nov 8,91700,4741
Nov 7,91600,4741
Nov 6,91600,4741
Nov 5,91600,4741
Nov 4,91500,4740
Nov 3,91500,4739
Nov 2,91500,4739
Nov 1,91400,4739
Oct 31,91400,4739
Oct 30,91300,4739
Oct 29,91300,4739
Oct 28,91300,4739
Oct 27,91200,4739
Oct 26,91200,4739
Oct 25,91200,4739
Oct 24,91100,4739
Oct 23,91100,4739
Oct 22,91100,4739
Oct 21,91000,4739
Oct 20,91000,4739
Oct 19,91000,4739
Oct 18,91000,4739
Oct 17,91000,4739
Oct 16,90900,4739
Oct 15,90900,4739
Oct 14,90900,4739
Oct 13,90900,4739
Oct 12,90800,4739
Oct 11,90800,4739
Oct 10,90800,4739
Oct 9,90800,4739
Oct 8,90700,4739
Oct 7,90700,4739
Oct 6,90700,4739
Oct 5,90700,4739
Oct 4,90600,4739
Oct 3,90600,4739
Oct 2,90600,4739
Oct 1,90600,4739
Sep 30,90600,4739
Sep 29,90600,4739
Sep 28,90500,4739
Sep 27,90500,4739
Sep 26,90500,4739
Sep 25,90400,4739
Sep 24,90400,4738
Sep 23,90400,4738
Sep 22,90400,4737
Sep 21,90400,4737
Sep 20,90400,4737
Sep 19,90300,4737
Sep 18,90300,4737
Sep 17,90300,4736
Sep 16,90300,4736
Sep 15,90300,4736
Sep 14,90200,4735
Sep 13,90200,4734
Sep 12,90200,4734
Sep 11,90100,4733
Sep 10,90100,4733
Sep 9,90100,4733
Sep 8,90100,4733
Sep 7,90100,4732
Sep 6,90100,4730
Sep 5,90000,4728
Sep 4,90000,4728
Sep 3,90000,4728
Sep 2,90000,4727
Sep 1,89900,4724
Aug 31,89900,4723
Aug 30,89900,4722
Aug 29,89900,4721
Aug 28,89800,4718
Aug 27,89800,4715
Aug 26,89800,4713
Aug 25,89800,4712
Aug 24,89700,4711
Aug 23,89700,4711
Aug 22,89700,4711
Aug 21,89600,4709
Aug 20,89600,4709
Aug 19,89500,4706
Aug 18,89500,4705
Aug 17,89400,4703
Aug 16,89400,4703
Aug 15,89300,4703
Aug 14,89200,4701
Aug 13,89100,4700
Aug 12,89000,4697
Aug 11,89000,4693
Aug 10,88900,4689
Aug 9,88800,4686
Aug 8,88700,4681
Aug 7,88600,4681
Aug 6,88500,4680
Aug 5,88300,4677
Aug 4,88200,4676
Aug 3,88100,4672
Aug 2,88000,4669
Aug 1,87800,4667
Jul 31,87700,4661
Jul 30,87500,4659
Jul 29,87200,4658
Jul 28,87000,4657
Jul 27,86800,4656
Jul 26,86600,4652
Jul 25,86400,4652
Jul 24,86200,4650
Jul 23,86000,4649
Jul 22,85900,4648
Jul 21,85700,4648
Jul 20,85600,4646
Jul 19,85500,4646
Jul 18,85400,4646
Jul 17,85400,4645
Jul 16,85300,4644
Jul 15,85200,4644
Jul 14,85200,4642
Jul 13,85100,4641
Jul 12,85100,4641
Jul 11,85100,4641
Jul 10,85000,4641
Jul 9,85000,4641
Jul 8,85000,4641
Jul 7,84900,4641
Jul 6,84900,4641
Jul 5,84900,4641
Jul 4,84900,4641
Jul 3,84800,4641
Jul 2,84800,4641
Jul 1,84800,4641
Jun 30,84800,4641
Jun 29,84800,4641
Jun 28,84800,4641
Jun 27,84700,4641
Jun 26,84700,4641
Jun 25,84700,4640
Jun 24,84700,4640
Jun 23,84700,4639
Jun 22,84600,4639
Jun 21,84600,4639
Jun 20,84600,4638
Jun 19,84500,4638
Jun 18,84500,4638
Jun 17,84500,4638
Jun 16,84400,4638
Jun 15,84400,4638
Jun 14,84300,4638
Jun 13,84300,4638
Jun 12,84200,4638
Jun 11,84200,4638
Jun 10,84200,4638
Jun 9,84200,4638
Jun 8,84200,4638
Jun 7,84200,4638
Jun 6,84200,4638
Jun 5,84200,4638
Jun 4,84200,4638
Jun 3,84200,4638
Jun 2,84200,4638
Jun 1,84200,4638
May 31,84100,4638
May 30,84100,4638
May 29,84100,4638
May 28,84100,4638
May 27,84100,4638
May 26,84100,4638
May 25,84000,4638
May 24,84000,4638
May 23,84000,4638
May 22,84000,4638
May 21,84000,4638
May 20,84000,4638
May 19,84000,4638
May 18,84000,4638
May 17,84000,4638
May 16,84000,4637
May 15,84000,4637
May 14,84000,4637
May 13,84000,4637
May 12,84000,4637
May 11,84000,4637
May 10,84000,4637
May 9,84000,4637
May 8,84000,4637
May 7,84000,4637
May 6,84000,4637
May 5,84000,4637
May 4,84000,4637
May 3,84000,4637
May 2,84000,4637
May 1,84000,4637
Apr 30,83900,4637
Apr 29,83900,4637
Apr 28,83900,4637
Apr 27,83900,4637
Apr 26,83900,4636
Apr 25,83900,4636
Apr 24,83900,4636
Apr 23,83900,4636
Apr 22,83900,4636
Apr 21,83900,4636
Apr 20,83800,4636
Apr 19,83800,4636
Apr 18,83800,4636
Apr 17,83800,4636
Apr 16,83400,3346
Apr 15,83300,3346
Apr 14,83300,3345
Apr 13,83200,3345
Apr 12,83100,3343
Apr 11,83000,3343
Apr 10,82900,3343
Apr 9,82800,3339
Apr 8,82800,3337
Apr 7,82700,3335
Apr 6,82600,3335
Apr 5,82600,3333
Apr 4,82500,3330
Apr 3,82500,3326
Apr 2,82400,3322
Apr 1,82300,3316
Mar 31,82200,3309
Mar 30,82100,3308
Mar 29,82100,3304
Mar 28,82000,3299
Mar 27,81900,3292
Mar 26,81800,3287
Mar 25,81700,3281
Mar 24,81600,3277
Mar 23,81500,3270
Mar 22,81400,3261
Mar 21,81300,3255
Mar 20,81300,3249
Mar 19,81200,3245
Mar 18,81100,3237
Mar 17,81100,3226
Mar 16,81000,3213
Mar 15,81000,3199
Mar 14,81000,3189
Mar 13,80900,3176
Mar 12,80900,3169
Mar 11,80900,3158
Mar 10,80800,3136
Mar 9,80700,3120
Mar 8,80700,3096
Mar 7,80700,3076
Mar 6,80600,3042
Mar 5,80400,3013
Mar 4,80300,2981
Mar 3,80200,2945
Mar 2,80000,2912
Mar 1,79800,2870
Feb 29,79300,2835
Feb 28,78800,2788
Feb 27,78500,2744
Feb 26,78100,2715
Feb 25,77700,2663
Feb 24,77200,2592
Feb 23,76900,2443
Feb 22,76900,2441
Feb 21,75500,2236
Feb 20,75000,2119
Feb 19,74500,2007
Feb 18,74100,1870
Feb 17,72400,1771
Feb 16,70400,1765
Feb 15,68300,1662
Feb 14,66300,1382
Feb 13,59800,1369
Feb 12,44700,1116
Feb 11,44300,1017
Feb 10,42300,909
Feb 9,39800,813
Feb 8,36800,724
Feb 7,34100,637
Feb 6,30600,635
Feb 5,27400,565
Feb 4,23700,494
Feb 3,19700,426
Feb 2,17200,361
Feb 1,14300,259
Jan 31,11200,213
Jan 30,9700,171
Jan 29,7700,132
Jan 28,6000,106
Jan 27,4400,81
Jan 26,2700,56
Jan 25,2000,34
Jan 24,916,26
Jan 23,639,0
Jan 22,547,0
Jan 21,326,0
Jan 20,278,0
