Year and candidate,Democratic,Republican,Progressive
2020: Donald Trump,-,3,-
2016: Donald Trump*,-,3,-
2012: Mitt Romney,-,3,-
2008: John McCain,-,3,-
2004: George W. Bush*,-,3,-
2000: George W. Bush*,-,3,-
1996: Bob Dole,-,3,-
1992: George H. W. Bush,-,3,-
1988: George H. W. Bush*,-,3,-
1984: Ronald Reagan*,-,3,-
1980: Ronald Reagan*,-,4,-
1976: Gerald R. Ford,-,4,-
1972: Richard Nixon*,-,4,-
1968: Richard Nixon*,-,4,-
1964: Lyndon B. Johnson*,4,-,-
1960: Richard Nixon,-,4,-
1956: Dwight D. Eisenhower*,-,4,-
1952: Dwight D. Eisenhower*,-,4,-
1948: Thomas E. Dewey,-,4,-
1944: Thomas E. Dewey,-,4,-
1940: Wendell Wilkie,-,4,-
1936: Franklin D. Roosevelt*,4,-,-
1932: Franklin D. Roosevelt*,4,-,-
1928: Herbert Hoover*,-,5,-
1924: Calvin Coolidge*,-,5,-
1920: Warren G. Harding*,-,5,-
1916: Charles Evans Hughes,-,5,-
1912: Theodore Roosevelt,-,-,5
1908: William Howard Taft*,-,4,-
1904: Theodore Roosevelt*,-,4,-
1900: William McKinley*,-,4,-
1896: William Jennings Bryan,4,-,-
1892: Benjamin Harrison,-,4,-
