Country,Health,Agriculture,Food and beverages,Natural resources,Environment,Industrial processing,Bioinformatics,Other
New Zealand,29.9%,18.4%,19.5%,-,5.7%,17.2%,5.7%,3.4%
Mexico,32.6%,12.1%,19.1%,-,23.6%,12.6%,-,0%
Korea,33%,2.9%,20.2%,0%,7.8%,7.5%,5.2%,23.4%
Portugal,33.1%,17.4%,14.9%,2.5%,2.5%,11.6%,7.4%,10.7%
Poland,34.8%,2.9%,-,8.7%,20.3%,18.8%,4.4%,10.1%
Slovenia,42.2%,21.9%,-,-,25.8%,10.1%,-,-
Belgium,49.7%,12.7%,9.6%,0%,8.3%,17.2%,0%,2.6%
Germany,49.7%,3.2%,0%,1%,2.8%,6.3%,5.1%,31.9%
Estonia,52%,4%,4%,4%,0%,16%,12%,8%
Italy,55.6%,8.9%,7.8%,0%,4.1%,10%,0.7%,13%
Israel,60.2%,13.5%,0%,1.5%,6.7%,5.6%,-,12.5%
Austria,66.4%,1.7%,0%,0%,0%,8.6%,2.6%,20.7%
Spain,70.3%,21.4%,28.8%,-,13.5%,14%,-,-
United Kingdom,83.9%,0.5%,2.1%,-,1.3%,7.8%,4.1%,0%
