State,Urban population,Rural population
California,35374,1880
Texas,21298,3848
Florida,17140,1661
New York,17028,2350
Illinois,11354,1477
Pennsylvania,9991,2711
Ohio,8990,2547
New Jersey,8324,468
Michigan,7370,2514
Georgia,7272,2416
North Carolina,6302,3234
Virginia,6037,1964
Massachusetts,6022,526
Arizona,5741,651
Washington,5652,1073
Maryland,5034,739
Indiana,4697,1787
Colorado,4333,696
Missouri,4218,1771
Tennessee,4213,2133
Wisconsin,3990,1697
Minnesota,3886,1418
Louisiana,3318,1216
Connecticut,3145,429
Oregon,3104,727
South Carolina,3068,1558
Alabama,2822,1958
Nevada,2544,157
Kentucky,2533,1806
Utah,2504,260
Oklahoma,2485,1266
Kansas,2117,736
Iowa,1950,1096
Arkansas,1638,1278
New Mexico,1594,465
Mississippi,1464,1503
Nebraska,1336,491
Hawaii,1250,110
Idaho,1106,461
Rhode Island,955,98
West Virginia,903,950
New Hampshire,794,523
Delaware,748,150
District of Columbia,602,0
Montana,553,436
Maine,514,815
Alaska,469,241
South Dakota,461,353
North Dakota,403,270
Wyoming,365,199
Vermont,243,382
