Quarter,Other,Managed services,Data & broadband,Voice,Mobile,Ventures
Q4 2017,24,88,127,120,56,89
Q3 2017,25,88,129,125,55,84
Q2 2017,25,83,131,125,60,80
Q1 2017,24,86,131,126,57,68
Q4 2016,30,96,141,133,57,84
Q3 2016,28,96,140,129,58,77
Q2 2016,24,90,143,129,54,82
Q1 2016,25,97,139,134,54,69
Q4 2015,29,108,147,143,33,83
Q3 2015,23,160,153,169,1,72
Q2 2015,26,149,150,178,1,71
Q1 2015,30,152,142,186,2,66
Q4 2014,27,154,151,217,2,76
Q3 2014,31,144,152,179,1,75
Q2 2014,32,137,150,182,1,77
Q1 2014,28,133,159,183,1,69
