Month and year,Imports,Exports
May20,816.11,710.0
Apr20,850.77,775.57
Mar20,962.52,1043.62
Feb20,856.59,1028.92
Jan20,957.78,1056.27
Dec19,959.98,1081.98
Nov19,930.63,1029.76
Oct19,1052.37,1050.42
Sep19,983.16,1089.18
Aug19,1055.33,998.69
Jul19,1100.77,1055.83
Jun19,1009.1,1048.34
May19,1079.32,1070.06
Apr19,1065.55,1059.92
Mar19,961.14,1048.36
Feb19,935.96,877.69
Jan19,1048.14,893.84
Dec18,1024.27,989.79
Nov18,981.73,1022.59
Oct18,1137.23,1055.21
Sep18,1001.22,974.07
Aug18,1131.22,1023.65
Jul18,1116.03,914.95
Jun18,1151.13,1033.27
May18,1005.78,1031.3
Apr18,944.56,1020.45
Mar18,939.12,1042.21
Feb18,916.98,805.9
Jan18,977.21,855.25
Dec17,954.65,990.0
Nov17,917.02,876.99
Oct17,931.86,917.38
Sep17,846.89,868.59
Aug17,944.63,901.5
Jul17,956.85,903.92
Jun17,873.95,958.98
May17,979.24,867.43
Apr17,870.11,866.86
Mar17,882.93,857.67
Feb17,773.36,776.15
Jan17,846.35,756.13
