media read by young people,2014,2015,2016,2017/18,2019
Text messages,72.6%,70.1%,67.4%,88.8%,89.8%
Instant messages,49.1%,45.9%,43.5%,79%,85.8%
Websites,60.2%,55.5%,49.5%,84%,81.1%
Social networking,53.6%,49.8%,47%,-,74.5%
Emails,50.4%,45.5%,39.2%,-,64%
Lyrics,50.3%,43.1%,47.4%,47.8%,56.1%
Fiction,46.7%,44.3%,44.2%,54.9%,54.6%
Non-fiction,34.2%,32.2%,33.2%,48.5%,45%
Newspapers,30.7%,25.9%,22.2%,30.7%,32.1%
Magazines,48.7%,43.1%,35.7%,34.8%,31.3%
Blogs,21.9%,22.3%,17.3%,-,27.4%
Comics,28.6%,26.3%,25.8%,39.9%,27.3%
Poems,16.7%,17.4%,17.2%,17.2%,21.5%
EAL materials,18.7%,16.9%,16.8%,-,-
Manuals,19.1%,17.1%,15.4%,-,-
eBooks,15.3%,13.9%,11.1%,-,-
