Latest available time period in brackets,Male,Female
Netherlands (2005-06),78,96
Mexico (2009),83,88
United Kingdom (2005),80,87
South Africa (2010),92,74
Denmark (2001),74,87
India (1999),81,64
Turkey (2006),65,77
Austria (2008-09),69,71
Germany (2001-02),65,72
Canada (2010),64,72
Italy (2008),75,61
New Zealand (2009-10),59,77
Slovenia (2000-01),63,61
Belgium (2005),57,62
Norway (2010),50,68
France (2009),53,58
Poland (2003-04),54,54
Hungary (1999-2000),59,44
Finland (2009-10),46,55
Ireland (2005),42,56
Spain (2009-10),43,53
United States (2014),45,48
Korea (2009),43,48
Portugal (1999),53,35
Estonia (2009-2010),36,40
Sweden (2010),27,32
China (2008),22,24
Japan (2011),12,12
Australia (2006),10,10
