industry,April 2020,July 2020,September 2020
Manufacturing,4717,229,1395
Construction,1025,639,1008
Motor vehicle; reparings,3640,265,862
"Activities in law, economy, science and technology",1396,146,770
"Leasing, real estate services, travel services etc.",2362,627,740
Transportation and storage,4047,639,521
Hotels and restaurants,4083,392,277
Care and social services,284,454,185
Information and communications,1054,129,147
Education,408,50,97
"Culture, entertainment and leisure",2966,29,53
Other services,209,10,27
Public administration and defense; compulsory social insurance,9,-,25
Real estate,44,-,12
Agriculture,22,-,-
"Water supply, sewage treatment, waste management etc.",21,-,-
Finance and insurance,486,-,-
Total,26773,3622,6119
