Year,Asia,Europe,Africa,South America,Oceania,Middle East,North America
1-Jan,0,0,0,0,0,0,0
2-Jan,0,0,0,0,0,0,0
3-Jan,17,0,0,0,0,0,0
4-Jan,0,0,0,0,0,0,0
5-Jan,15,0,0,0,0,0,0
6-Jan,0,0,0,0,0,0,0
7-Jan,0,0,0,0,0,0,0
8-Jan,0,0,0,0,0,0,0
9-Jan,0,0,0,0,0,0,0
10-Jan,0,0,0,0,0,0,0
11-Jan,0,0,0,0,0,0,0
12-Jan,0,0,0,0,0,0,0
13-Jan,1,0,0,0,0,0,0
14-Jan,0,0,0,0,0,0,0
15-Jan,1,0,0,0,0,0,0
16-Jan,0,0,0,0,0,0,0
17-Jan,5,0,0,0,0,0,0
18-Jan,17,0,0,0,0,0,0
19-Jan,136,0,0,0,0,0,0
20-Jan,20,0,0,0,0,0,0
21-Jan,152,0,0,0,0,0,1
22-Jan,142,0,0,0,0,0,0
23-Jan,97,0,0,0,0,0,0
24-Jan,266,0,0,0,0,0,0
25-Jan,448,3,0,0,1,0,1
26-Jan,669,0,0,0,3,0,1
27-Jan,793,0,0,0,0,1,3
28-Jan,1765,1,0,0,0,0,1
29-Jan,1475,4,0,0,0,0,1
30-Jan,1749,2,0,0,2,3,0
31-Jan,1994,7,0,0,1,0,1
1-Feb,2110,6,0,0,2,0,2
2-Feb,2603,1,0,0,2,1,1
3-Feb,2814,1,0,0,0,0,3
4-Feb,3240,3,0,0,0,0,0
5-Feb,3905,0,0,0,1,0,1
6-Feb,3749,0,0,0,1,0,1
7-Feb,3213,2,0,0,1,0,2
8-Feb,3434,6,0,0,0,2,0
9-Feb,2618,1,0,0,0,0,0
10-Feb,2987,1,0,0,0,0,0
11-Feb,2559,4,0,0,0,1,1
12-Feb,2070,2,0,0,0,0,0
13-Feb,15149,1,0,0,0,0,1
14-Feb,4213,0,0,0,1,0,1
15-Feb,2558,0,0,0,0,1,1
16-Feb,2162,0,0,0,0,0,0
17-Feb,2065,1,0,0,0,1,0
18-Feb,1995,0,0,0,0,0,0
19-Feb,1864,0,0,0,0,0,0
20-Feb,530,0,0,0,0,2,0
21-Feb,989,0,0,0,2,3,2
22-Feb,1031,14,0,0,4,17,19
