Response,Germany,United Kingdom,United States
5/31,4.6,4.3,5.2
5/30,4.4,4.6,5.4
5/29,3.8,4.8,4.6
5/28,4.6,4.6,5.0
5/27,3.8,5.8,5.0
5/26,4.2,5.1,5.5
5/25,4.0,4.6,4.9
5/24,4.0,5.0,5.1
5/23,4.1,4.6,5.2
5/22,4.7,4.5,5.1
5/21,3.9,4.4,5.2
5/20,4.1,5.0,4.9
5/19,4.3,4.8,5.4
5/18,4.2,4.5,5.0
5/17,4.2,4.7,5.4
5/16,4.6,4.9,5.5
5/15,4.4,4.2,5.0
5/14,4.4,5.0,4.8
5/13,4.2,5.3,5.3
5/12,4.2,4.9,5.1
5/11,4.3,4.8,5.3
5/10,4.2,4.7,5.0
5/09,4.1,4.9,5.0
5/08,4.0,4.4,5.1
5/07,4.4,4.7,5.6
5/06,4.7,4.8,5.4
5/05,4.5,4.5,5.5
5/04,4.0,4.6,4.7
5/03,4.1,5.0,5.0
5/02,4.5,5.1,5.5
5/01,4.6,5.1,5.5
4/30,4.3,5.3,5.4
4/29,4.2,5.0,5.4
4/28,4.3,4.7,5.5
4/27,4.3,4.6,5.3
4/26,4.4,5.2,5.3
4/25,4.3,4.6,4.7
4/24,4.3,4.5,5.6
4/23,4.2,4.8,5.2
4/22,4.2,5.4,5.1
4/21,4.4,4.9,6.0
4/20,4.4,5.2,5.1
4/19,4.4,4.4,5.7
4/18,3.6,4.7,5.0
4/17,4.7,5.1,5.8
4/16,4.8,4.9,5.5
4/15,4.1,5.1,5.2
4/14,4.4,4.5,6.1
4/13,4.4,4.8,5.3
4/12,4.6,5.5,5.3
4/11,4.4,4.6,5.5
4/10,3.8,5.2,5.8
4/09,4.1,4.6,5.0
4/08,4.4,4.8,5.1
4/07,4.7,5.5,5.1
4/06,3.9,5.0,5.6
4/05,4.3,4.6,5.9
4/04,4.3,4.9,5.3
4/03,4.4,4.9,5.3
4/02,4.2,4.7,5.6
4/01,4.4,5.0,5.4
3/31,5.0,4.8,5.2
3/30,4.1,5.0,5.2
3/29,4.2,4.8,5.6
3/28,4.2,4.7,5.7
3/27,4.3,5.2,5.7
3/26,4.5,4.9,5.4
3/25,4.3,5.2,6.2
3/24,4.4,4.8,5.5
3/23,4.2,4.9,6.0
