Month and year,Imports,Exports
May20,1272.88,2012.78
Apr20,1590.36,1901.49
Mar20,1750.42,2304.2
Feb20,1233.75,2263.42
Jan20,1327.88,1972.34
Dec19,1554.94,1952.07
Nov19,1411.95,1956.68
Oct19,1493.23,1962.26
Sep19,1397.26,1837.39
Aug19,1446.69,2016.66
Jul19,1616.66,1879.46
Jun19,1670.17,1927.57
May19,1605.24,2090.06
Apr19,1653.37,2213.91
Mar19,1654.5,2287.25
Feb19,1390.05,1914.95
Jan19,1767.8,1847.54
Dec18,1946.2,2084.5
Nov18,1576.8,1850.57
Oct18,1655.15,1887.04
Sep18,1624.62,1796.57
Aug18,1641.41,1854.4
Jul18,1813.44,1708.14
Jun18,1790.52,1858.86
May18,1704.15,1813.1
Apr18,1554.42,1679.32
Mar18,1572.51,2038.72
Feb18,1605.01,1577.53
Jan18,1586.73,1659.4
Dec17,1573.72,1761.16
Nov17,1446.5,1705.27
Oct17,1592.55,1821.55
Sep17,1468.8,1687.81
Aug17,1572.9,1863.96
Jul17,1564.54,1691.03
Jun17,1352.64,1721.4
May17,1381.59,1860.43
Apr17,1514.49,1701.21
Mar17,1617.54,1726.69
Feb17,1365.85,1734.9
Jan17,1878.81,1611.93
