Month and year,Imports,Exports
May20,618.92,343.7
Apr20,728.78,394.69
Mar20,839.63,479.91
Feb20,957.05,532.15
Jan20,1099.68,442.71
Dec19,1006.86,454.52
Nov19,858.41,491.74
Oct19,1070.08,472.47
Sep19,1006.18,496.35
Aug19,964.59,506.32
Jul19,1046.9,485.71
Jun19,1160.15,532.69
May19,1139.09,510.41
Apr19,959.96,480.69
Mar19,863.65,536.37
Feb19,874.85,459.28
Jan19,879.34,466.01
Dec18,937.61,508.98
Nov18,1039.51,492.77
Oct18,1231.51,506.34
Sep18,962.3,454.93
Aug18,963.45,522.58
Jul18,934.28,511.02
Jun18,967.19,539.07
May18,945.66,520.56
Apr18,852.87,459.64
Mar18,766.06,558.2
Feb18,763.0,476.79
Jan18,914.68,418.23
Dec17,843.26,482.36
Nov17,807.95,390.7
Oct17,904.51,463.12
Sep17,868.25,427.32
Aug17,814.95,397.3
Jul17,816.36,392.05
Jun17,832.68,469.62
May17,927.56,381.66
Apr17,727.55,400.92
Mar17,776.71,472.36
Feb17,645.91,352.8
Jan17,739.59,370.69
