Month and year,Imports,Exports
May20,7272.48,2847.9
Apr20,7693.3,2775.21
Mar20,9496.71,3866.46
Feb20,9605.43,3750.51
Jan20,9520.57,3436.98
Dec19,10118.91,3100.84
Nov19,9313.07,3468.16
Oct19,10790.61,3774.67
Sep19,9811.99,3328.18
Aug19,10730.23,3595.19
Jul19,11496.27,3456.24
Jun19,10325.59,3529.02
May19,11160.41,3678.09
Apr19,11229.81,3550.11
Mar19,11223.06,3893.85
Feb19,9008.79,3393.93
Jan19,11086.51,3214.36
Dec18,10315.76,3163.78
Nov18,10224.19,3636.51
Oct18,12200.57,3541.82
Sep18,9656.84,3343.67
Aug18,11814.02,3615.69
Jul18,11295.34,3340.45
Jun18,10849.36,3513.74
May18,11075.31,3679.65
Apr18,10599.14,3786.9
Mar18,9517.41,3762.24
Feb18,9402.01,3211.28
Jan18,11042.0,3291.5
Dec17,9567.6,3450.53
Nov17,9289.06,3417.92
Oct17,10029.09,3681.55
Sep17,9244.35,3442.88
Aug17,10397.37,3451.96
Jul17,9619.39,3298.84
Jun17,9298.15,3431.29
May17,9800.83,3781.15
Apr17,8852.07,3198.7
Mar17,9069.65,3505.09
Feb17,8436.24,3203.27
Jan17,9062.62,3059.04
