ten largest private equity (PE) deals in Central and Eastern Europe (CEE),2018,2019
Central European Media Enterprises (CME) ( Czech Republic; Romania; Slovakia; Bulgaria; Slovenia)- PPF Group,-,1.89
innogy Grid Holding (IGH) (Czech Republic)- Allianz; Macquarie Group; British Columbia Investment Management,-,1.8
Vivacom (Bulgaria)- BC Partners Holdings,-,1.28
DCT Gdansk (Poland)-Temasek Holdings; Polski Fundusz Rozwoju; Industry Super Holdings,-,1.18
Avito (Russia)- Naspers,-,1.02
CEE operations of Alvogen (Bulgaria; Hungary; Poland; Romania; Russia; Serbia)- Advent International,-,0.9
M7 Group operations in CEE/SEE (Czech Republic; Slovakia; Romania; Hungary)- Vivendi,-,0.7
Lenta (Russia)- Severgroup,-,0.65
Nginx (Russia)- F5 Networks,-,0.6
Galleria shopping mall in St. Petersburg (Russia)- Mubadala Investment,-,0.58
