Response,Great deal,Fair amount,Only a little,Not at all
2018,43%,20%,18%,18%
2017,45%,21%,18%,16%
2016,37%,27%,17%,19%
2015,32%,23%,21%,24%
2014,34%,22%,19%,24%
2013,33%,25%,20%,23%
2012,30%,25%,22%,23%
2011,25%,26%,20%,28%
2010,28%,24%,19%,29%
2009*,35%,25%,20%,19%
2008,37%,29%,16%,17%
2007,41%,24%,18%,16%
2006,36%,26%,21%,15%
2004,26%,25%,28%,19%
2003,28%,30%,23%,17%
2002,29%,29%,23%,17%
2001,33%,30%,22%,13%
2000,40%,32%,15%,12%
1999,28%,31%,23%,16%
1997,24%,26%,29%,17%
1991,35%,27%,22%,12%
1990,30%,27%,20%,16%
1989,35%,28%,18%,12%
