Year and candidate,Democrat,Republican
2020: Donald Trump,-,3
2016: Donald Trump*,-,3
2012: Mitt Romney,-,3
2008: John McCain,-,3
2004: George W. Bush*,-,3
2000: George W. Bush*,-,3
1996: Bob Dole,-,3
1992: Bill Clinton*,3,-
1988: George H. W. Bush*,-,4
1984: Ronald Reagan*,-,4
1980: Ronald Reagan*,-,4
1976: Gerald R. Ford,-,4
1972: Richard Nixon*,-,4
1968: Richard Nixon*,-,4
1964: Lyndon B. Johnson*,4,-
1960: Richard Nixon,-,4
1956: Dwight D. Eisenhower*,-,4
1952: Dwight D. Eisenhower*,-,4
1948: Harry S. Truman*,4,-
1944: Franklin D. Roosevelt*,4,-
1940: Franklin D. Roosevelt*,4,-
1936: Franklin D. Roosevelt*,4,-
1932: Franklin D. Roosevelt*,4,-
1928: Herbert Hoover*,-,4
1924: Calvin Coolidge*,-,4
1920: Warren G. Harding*,-,4
1916: Woodrow Wilson*,4,-
1912: Woodrow Wilson*,4,-
1908: William Howard Taft*,-,3
1904: Theodore Roosevelt*,-,3
1900: William Jennings Bryan,3,-
1896: William Jennings Bryan,3,-
1892: Benjamin Harrison,-,3
