Month and year,Imports,Exports
May20,3930.0,1266.47
Apr20,3924.36,1334.22
Mar20,4726.98,2830.21
Feb20,4018.01,2335.76
Jan20,4279.59,2464.64
Dec19,4895.43,2795.37
Nov19,4609.93,2494.33
Oct19,5187.51,2936.24
Sep19,4618.96,2866.27
Aug19,4853.32,2767.36
Jul19,4730.37,2534.74
Jun19,5007.51,2697.71
May19,4867.17,2626.93
Apr19,4372.97,2988.38
Mar19,4400.54,3047.35
Feb19,4665.29,2363.45
Jan19,4670.96,2387.54
Dec18,4708.88,2472.34
Nov18,4840.85,2553.72
Oct18,5218.2,2743.62
Sep18,4341.88,2688.7
Aug18,4844.65,2561.72
Jul18,4484.92,2204.64
Jun18,4620.63,2751.8
May18,4312.34,2541.77
Apr18,4476.4,3001.82
Mar18,4292.98,3190.61
Feb18,4109.66,2560.97
Jan18,4307.94,2500.14
Dec17,3970.74,2803.23
Nov17,4248.88,2714.57
Oct17,4283.1,2674.93
Sep17,4206.96,2897.88
Aug17,4170.44,2701.11
Jul17,3980.61,2427.41
Jun17,4108.5,2925.16
May17,3904.47,2612.69
Apr17,3606.69,2642.33
Mar17,3832.58,3199.54
Feb17,3405.89,2353.58
Jan17,3355.38,2231.94
