Month and year,Imports,Exports
May20,4315.03,2630.96
Apr20,4791.66,2587.68
Mar20,5356.71,4421.69
Feb20,5041.3,4134.14
Jan20,5311.37,4050.5
Dec19,5491.97,4072.84
Nov19,5613.67,4080.65
Oct19,5986.43,4331.99
Sep19,5996.6,4192.9
Aug19,5973.39,4500.85
Jul19,5989.61,4193.83
Jun19,5790.93,4418.66
May19,5985.83,4558.91
Apr19,5820.35,4400.61
Mar19,5588.24,4842.79
Feb19,5146.57,3962.33
Jan19,5630.76,3920.31
Dec18,5644.19,4158.42
Nov18,5667.44,4213.69
Oct18,6365.72,4543.21
Sep18,6047.1,4559.98
Aug18,5837.86,4636.94
Jul18,5842.15,4349.47
Jun18,5913.86,4955.14
May18,5778.69,4581.3
Apr18,5713.57,4361.93
Mar18,5901.25,5065.3
Feb18,5747.3,4257.83
Jan18,5752.32,4282.7
Dec17,5312.91,4247.45
Nov17,5714.3,4319.32
Oct17,6232.27,4471.12
Sep17,5831.6,4169.37
Aug17,5897.56,4318.85
Jul17,5451.34,3785.0
Jun17,5974.27,4324.29
May17,5384.09,4155.51
Apr17,5261.6,3841.55
Mar17,5548.8,4629.51
Feb17,5466.15,3772.03
Jan17,5543.53,3929.56
