State,Hillary Clinton,Bernie Sanders
Total,2219,1832
Alabama,44,9
Alaska,3,13
Arizona,44,30
Arkansas,22,10
California,269,206
Colorado,28,38
Connecticut,28,27
Delaware,12,9
District of Columbia,16,4
Florida,130,63
Georgia,72,28
Guam,4,3
Hawaii,8,17
Idaho,5,17
Illinois,68,67
Indiana,39,44
Iowa,23,21
Kansas,10,23
Kentucky,27,27
Louisiana,37,14
Maine,7,15
Maryland,61,33
Massachussetts,46,45
Michigan,57,65
Minnesota,31,46
Mississippi,29,4
Missouri,31,32
Montana,10,11
Nebraska,10,15
Nevada,20,15
New Hampshire,9,15
New Jersey,79,47
New Mexico,18,16
New York,139,108
North Carolina,59,45
North Dakota,5,13
Northern Mariana Islands,4,2
Ohio,76,57
Oklahoma,17,21
Oregon,25,34
Pennsylvania,105,83
Puerto Rico,34,24
Rhode Island,11,13
South Carolina,39,14
South Dakota,10,10
Tennessee,44,23
Texas,147,74
Utah,6,26
Vermont,0,16
Virgin Islands,7,0
Virginia,62,33
Washington,9,25
West Virginia,11,18
Wisconsin,38,48
Wyoming,7,7
