Response,Germany,United Kingdom,United States
5/31,11%,8%,25%
5/30,10%,8%,21%
5/29,13%,10%,13%
5/28,16%,9%,13%
5/27,9%,6%,12%
5/26,11%,9%,11%
5/25,7%,6%,7%
5/24,8%,5%,15%
5/23,14%,6%,12%
5/22,10%,6%,11%
5/21,6%,6%,7%
5/20,14%,7%,9%
5/19,6%,9%,9%
5/18,12%,4%,14%
5/17,12%,8%,8%
5/16,7%,5%,16%
5/15,10%,5%,13%
5/14,15%,7%,10%
5/13,13%,10%,19%
5/12,16%,4%,13%
5/11,17%,5%,12%
5/10,12%,13%,9%
5/09,11%,14%,17%
5/08,11%,8%,11%
5/07,8%,2%,17%
5/06,15%,9%,12%
5/05,5%,14%,18%
5/03,16%,7%,16%
5/02,8%,8%,19%
5/01,12%,7%,16%
4/30,17%,10%,18%
4/29,15%,8%,11%
4/28,15%,5%,13%
4/27,14%,14%,7%
4/26,8%,13%,15%
4/25,10%,8%,14%
4/24,15%,9%,16%
4/23,11%,9%,9%
4/22,16%,10%,19%
4/21,11%,8%,19%
4/20,11%,5%,14%
4/19,15%,10%,12%
4/18,21%,11%,10%
4/17,13%,11%,24%
4/16,10%,7%,22%
4/15,12%,7%,23%
4/14,14%,4%,13%
4/13,19%,14%,11%
4/12,13%,5%,21%
4/11,13%,10%,15%
4/10,17%,12%,14%
4/09,15%,15%,7%
4/08,19%,13%,9%
4/07,23%,16%,18%
4/06,18%,14%,17%
4/05,17%,11%,16%
4/04,21%,12%,23%
4/03,18%,8%,18%
4/02,17%,13%,15%
4/01,26%,8%,13%
3/31,20%,16%,17%
3/30,23%,11%,16%
3/29,18%,12%,23%
3/28,20%,12%,14%
3/27,22%,13%,17%
3/26,16%,13%,16%
3/25,15%,14%,23%
3/24,18%,12%,25%
3/23,27%,29%,15%
