Year,Liver cirrhosis deaths,Liver cirrhosis deaths (during Prohibition)
1970,15.5,-
1969,14.8,-
1968,14.6,-
1967,14.1,-
1966,13.6,-
1965,12.8,-
1964,12.1,-
1963,11.9,-
1962,11.7,-
1961,11.3,-
1960,11.3,-
1959,10.9,-
1958,10.8,-
1957,11.3,-
1956,10.7,-
1955,10.2,-
1954,10.1,-
1953,10.4,-
1952,10.2,-
1951,9.8,-
1950,9.2,-
1949,9.2,-
1948,11.3,-
1947,10.4,-
1946,9.6,-
1945,9.5,-
1944,8.6,-
1943,9.3,-
1942,9.4,-
1941,8.9,-
1940,8.6,-
1939,8.3,-
1938,8.3,-
1937,8.5,-
1936,8.3,-
1935,7.9,-
1934,7.7,-
1933,-,7.4
1932,-,7.2
1931,-,7.4
1930,-,7.2
1929,-,7.2
1928,-,7.5
1927,-,7.4
1926,-,7.2
1925,-,7.2
1924,-,7.3
1923,-,7.1
1922,-,7.4
1921,-,7.3
1920,-,7.1
1919,7.9,-
1918,9.6,-
1917,10.9,-
1916,11.8,-
1915,12.1,-
1914,12.5,-
1913,12.9,-
1912,13.1,-
1911,13.6,-
1910,13.3,-
1909,13.4,-
1908,13.5,-
1907,14.8,-
1906,14.1,-
1905,14,-
1904,13.9,-
1903,13.5,-
1902,13,-
1901,13.1,-
1900,12.5,-
