State,Democrat,Republican,Tied by different parties
Vermont : 1856-1960,-,27,-
Georgia : 1852-1960,27,-,-
Arkansas : 1876-1964,23,-,-
Alabama : 1876-1944,18,-,-
Mississippi : 1876-1944,18,-,-
Texas : 1848-1924,18,-,-
South Carolina : 1880-1944,17,-,-
Louisiana : 1880-1944,17,-,-
District of Columbia* : 1964-2020,15,-,-
Alaska* : 1968-2020,-,14,-
Idaho* : 1968-2020,-,14,-
Iowa : 1956-1908,-,14,-
Kansas* : 1968-2020,-,14,-
Maine : 1856-1908,-,14,-
Massachusetts : 1856-1908,-,14,-
Michigan : 1856-1908,-,14,-
Nebraska* : 1968-2020,-,14,-
New Hampshire : 1856-1908,-,14,-
North Dakota* : 1968-2020,-,14,-
Ohio : 1856-1908,-,14,-
Oklahoma* : 1968-2020,-,14,-
Rhode Island : 1856-1908,-,14,-
South Dakota* : 1968-2020,-,14,-
Utah* : 1968-2020,-,14,-
Wyoming* : 1968-2020,-,14,-
Minnesota : 1860-1908,-,13,-
North Carolina : 1876-1924,13,-,-
Virginia : 1876-1924,13,-,-
Pennsylvania : 1860-1908,-,13,-
Florida : 1880-1924,12,-,-
Tennessee : 1872-1916,12,-,-
Arizona : 1952-1992,-,11,-
Indiana : 1968-2004,-,10,-
Oregon : 1872-1908,-,10,-
Hawaii* : 1988-2020,9,-,-
Missouri : 1828-1860,9,-,-
New York* : 1988-2020,9,-,-
Washington* : 1988-2020,9,-,-
Wisconsin : 1856-1888,-,9,-
California* : 1992-2020,8,-,-
Connecticut*/** : 1992-2020,8,-,-
Delaware*/** : 1992-2020,8,-,-
Illinois : 1828-1856 + 1860-1888,-,-,8
Kentucky : 1796-1824 + 1864-1892,-,-,8
Maryland* : 1992-2020,8,-,-
New Jersey* : 1992-2020,8,-,-
Montana* : 1996-2020,-,7,-
Colorado : 1968-1988,-,6,-
Nevada : 1968-1988,-,6,-
New Mexico : 1968-1988,-,6,-
West Virginia* : 1932-1956  + 2000-2020,-,-,6
