Response,Germany,United Kingdom,United States
5/31,61%,49%,66%
5/30,52%,60%,55%
5/29,64%,63%,61%
5/28,57%,55%,61%
5/27,53%,54%,64%
5/26,63%,62%,56%
5/25,50%,57%,69%
5/24,68%,56%,62%
5/23,52%,60%,71%
5/22,54%,57%,54%
5/21,53%,59%,64%
5/20,52%,52%,63%
5/19,55%,65%,58%
5/18,55%,55%,68%
5/17,67%,55%,68%
5/16,49%,61%,71%
5/15,49%,61%,68%
5/14,66%,54%,65%
5/13,56%,66%,72%
5/12,59%,56%,68%
5/11,61%,50%,68%
5/10,50%,59%,67%
5/09,68%,56%,66%
5/08,51%,51%,59%
5/07,59%,59%,69%
5/06,60%,64%,62%
5/05,59%,63%,69%
5/04,69%,59%,69%
5/03,65%,57%,77%
5/02,56%,59%,66%
5/01,69%,54%,63%
4/30,65%,60%,69%
4/29,61%,59%,69%
4/28,61%,54%,67%
4/27,59%,61%,65%
4/26,59%,56%,72%
4/25,56%,62%,81%
4/24,69%,60%,75%
4/23,55%,56%,61%
4/22,66%,49%,61%
4/21,57%,60%,66%
4/20,51%,61%,66%
4/19,64%,62%,66%
4/18,61%,53%,66%
4/17,55%,58%,69%
4/16,71%,57%,67%
4/15,58%,55%,64%
4/14,57%,44%,69%
4/13,56%,41%,69%
4/12,56%,53%,74%
4/11,65%,54%,73%
4/10,49%,52%,73%
4/09,63%,60%,69%
4/08,65%,55%,64%
4/07,57%,61%,59%
4/06,60%,53%,66%
4/05,68%,48%,65%
4/04,52%,55%,74%
4/03,67%,49%,66%
4/02,67%,58%,61%
4/01,64%,52%,67%
3/31,61%,52%,60%
3/30,65%,50%,60%
3/29,60%,54%,72%
3/28,66%,43%,69%
3/27,66%,54%,61%
3/26,58%,51%,51%
3/25,72%,49%,62%
3/24,59%,45%,66%
3/23,62%,49%,62%
