Year,BCG,DTP1,DTP3,DTP4,HepB3,HepB_BD,JapEnc,MCV1,MCV2,Pol3,RCV1,IPV1
2019,100%,99%,99%,-,99%,96%,99%,99%,98%,99%,99%,99%
2018,100%,99%,99%,-,99%,96%,99%,99%,99%,100%,99%,100%
2017,100%,100%,100%,99%,100%,96%,99%,100%,99%,99%,-,99%
2016,100%,100%,100%,99%,99%,96%,99%,100%,99%,99%,100%,-
2015,100%,100%,100%,99%,100%,96%,100%,100%,99%,100%,99%,-
2014,99%,99%,99%,99%,99%,94%,99%,99%,99%,99%,99%,-
2013,100%,100%,100%,-,100%,99%,100%,100%,100%,100%,96%,-
2010,99%,99%,99%,-,99%,92%,99%,99%,99%,99%,96%,-
2005,86%,87%,87%,-,84%,86%,-,86%,84%,87%,-,-
2000,85%,-,85%,-,60%,-,-,98%,-,90%,-,-
1990,99%,-,97%,-,-,-,-,98%,-,98%,-,-
